Canonical List (Final),,
CountyName,ContestName,ContestChoices
Lake,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Larimer,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Las Animas,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Lincoln,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Logan,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Mesa,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Mineral,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Moffat,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Montezuma,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Montrose,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Morgan,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Otero,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Ouray,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Park,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Phillips,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Pitkin,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Prowers,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Pueblo,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Rio Blanco,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Rio Grande,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Routt,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Saguache,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
San Miguel,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Sedgwick,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Summit,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Teller,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Washington,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Weld,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Yuma,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Adams,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Alamosa,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Arapahoe,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Archuleta,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Baca,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Bent,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Boulder,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Broomfield,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Chaffee,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Cheyenne,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Clear Creek,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Conejos,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Costilla,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Crowley,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Custer,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Delta,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Denver,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Dolores,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Douglas,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Eagle,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
El Paso,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Elbert,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Fremont,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Garfield,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Gilpin,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Grand,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Gunnison,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Hinsdale,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Huerfano,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Jackson,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Jefferson,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Kiowa,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
Kit Carson,Amendment J (CONSTITUTIONAL),"Yes/For,No/Against"
