County,Tabulator ID,Batch,. of Ballots,Location
Douglas,1,GEN-0399,100,22
Douglas,1,GEN-0400,100,112
Douglas,1,GEN-0401,67,69
Douglas,1,GEN-0402,100,112
Douglas,1,GEN-0403,100,39
Douglas,1,GEN-0404,100,110
Douglas,1,GEN-0405,100,37
Douglas,1,GEN-0406,100,67
Douglas,1,GEN-0407,64,109
Douglas,1,GEN-0408,100,110
Douglas,1,GEN-0409,100,20
Douglas,1,GEN-0410,100,20
Douglas,1,GEN-0411,100,53
Douglas,1,GEN-0412,100,110
Douglas,1,GEN-0413,100,53
Douglas,1,GEN-0414,100,112
Douglas,1,GEN-0415,100,70
Douglas,1,GEN-0416,75,27
Douglas,1,GEN-0417,99,79
Douglas,1,GEN-0418,100,77
Douglas,1,GEN-0419,100,25
Douglas,1,GEN-0420,100,75
Douglas,1,GEN-0421,100,44
Douglas,1,GEN-0422,100,73
Douglas,1,GEN-0423,99,150
Douglas,1,GEN-0424,100,44
Douglas,1,GEN-0425,100,152
Douglas,1,GEN-0426,100,25
Douglas,1,GEN-0427,100,150
Douglas,1,GEN-0428,100,45
Douglas,1,GEN-0429,100,152
Douglas,1,GEN-0430,100,24
Douglas,1,GEN-0431,100,144
Douglas,1,GEN-0432,100,144
Douglas,1,GEN-0433,100,27
Douglas,1,GEN-0434,100,73
Douglas,1,GEN-0435,100,27
Douglas,1,GEN-0436,100,79
Douglas,1,GEN-0437,97,28
Douglas,1,GEN-0438,100,25
Douglas,1,GEN-0439,100,79
Douglas,1,GEN-0440,100,109
Douglas,1,GEN-0441,100,39
Douglas,1,GEN-0442,100,67
Douglas,1,GEN-0443,100,20
Douglas,1,GEN-0444,100,69
Douglas,1,GEN-0445,100,110
Douglas,1,GEN-0446,100,19
Douglas,1,GEN-0447,100,109
Douglas,1,GEN-0448,100,37
Douglas,1,GEN-0449,100,57
Douglas,1,GEN-0450,92,77
Douglas,1,GEN-0451,100,69
Douglas,1,GEN-0452,100,39
Douglas,1,GEN-0453,100,70
Douglas,1,GEN-0454,100,20
Douglas,1,GEN-0455,100,20
Douglas,1,GEN-0456,100,53
Douglas,1,GEN-0457,100,70
Douglas,1,GEN-0458,87,55
Douglas,1,GEN-0459,100,69
Douglas,1,GEN-0460,100,72
Douglas,1,GEN-0461,100,25
Douglas,1,GEN-0462,100,42
Douglas,1,GEN-0463,100,150
Douglas,1,GEN-0464,100,72
Douglas,1,GEN-0465,100,72
