County,Tabulator ID,Batch,# of Ballot Cards,Location/Box #
Mesa,202,2466,16,226
Mesa,202,2467,98,226
Mesa,202,2468,100,226
Mesa,202,2469,99,226
Mesa,202,2470,98,226
Mesa,202,2471,99,226
Mesa,202,2472,100,226
Mesa,202,2473,99,226
Mesa,202,2474,99,226
Mesa,202,2475,99,226
Mesa,202,2476,100,226
Mesa,202,2477,99,226
Mesa,202,2478,43,226
Mesa,202,2479,100,226
Mesa,202,2480,100,226
Mesa,202,2481,100,226
Mesa,202,2482,78,226
Mesa,202,2483,100,227
Mesa,202,2484,91,227
Mesa,202,2485,72,227
Mesa,202,2486,32,227
Mesa,202,2487,96,227
Mesa,202,2488,1,227
Mesa,202,2489,99,227
Mesa,202,2490,98,227
Mesa,202,2491,3,227
Mesa,202,2492,56,227
Mesa,202,2493,44,227
Mesa,202,2494,48,227
Mesa,202,2495,2,227
Mesa,202,2496,15,227
Mesa,203,2497,5,227
Mesa,202,2498,1,227
Mesa,202,2499,1,227
Mesa,202,2500,5,227
Mesa,402,4001,100,401
Mesa,402,4002,100,401
Mesa,402,4003,98,401
Mesa,402,4004,98,401
Mesa,402,4005,100,401
Mesa,402,4006,100,401
Mesa,402,4007,100,401
Mesa,402,4008,100,401
Mesa,402,4009,99,401
Mesa,402,4010,100,401
Mesa,402,4011,100,401
Mesa,402,4012,99,401
Mesa,402,4013,100,401
Mesa,402,4014,99,401
Mesa,402,4015,97,401
Mesa,402,4016,100,401
Mesa,402,4017,100,401
Mesa,402,4018,100,401
Mesa,402,4019,100,401
Mesa,402,4020,100,402
Mesa,402,4021,99,402
Mesa,402,4022,100,402
Mesa,402,4023,100,402
Mesa,402,4024,16,402
Mesa,402,4025,100,402
Mesa,402,4026,100,402
Mesa,402,4027,100,402
Mesa,402,4028,99,402
Mesa,402,4029,100,402
Mesa,402,4030,100,402
Mesa,402,4031,99,402
Mesa,402,4032,100,402
Mesa,402,4033,98,402
Mesa,402,4034,99,402
Mesa,402,4035,100,402
Mesa,402,4036,100,402
Mesa,402,4037,100,402
Mesa,402,4038,100,402
Mesa,402,4039,100,403
Mesa,402,4040,100,403
Mesa,402,4041,100,403
Mesa,402,4042,100,403
Mesa,402,4043,99,403
Mesa,402,4044,100,403
Mesa,402,4045,100,403
Mesa,402,4046,99,403
Mesa,402,4047,100,403
Mesa,402,4048,100,403
Mesa,402,4049,20,403
Mesa,402,4050,99,403
Mesa,402,4051,100,403
Mesa,402,4052,100,403
Mesa,402,4053,100,403
Mesa,402,4054,100,403
Mesa,402,4055,45,403
Mesa,402,4056,99,403
Mesa,402,4057,100,403
Mesa,402,4058,99,403
Mesa,402,4059,100,404
Mesa,402,4060,100,404
Mesa,402,4061,100,404
Mesa,402,4062,100,404
Mesa,402,4063,99,404
Mesa,402,4064,100,404
Mesa,402,4065,99,404
Mesa,402,4066,99,404
Mesa,402,4067,13,404
Mesa,402,4068,100,404
Mesa,402,4069,100,404
Mesa,402,4070,49,404
Mesa,402,4071,99,404
Mesa,402,4072,100,404
Mesa,402,4073,98,404
Mesa,402,4074,100,404
Mesa,402,4075,100,404
Mesa,402,4076,100,404
Mesa,402,4077,100,404
Mesa,402,4078,99,404
Mesa,402,4079,100,405
Mesa,402,4080,99,405
Mesa,402,4081,100,405
Mesa,402,4082,100,405
Mesa,402,4083,51,405
Mesa,402,4084,100,405
Mesa,402,4085,99,405
Mesa,402,4086,100,405
Mesa,402,4087,100,405
Mesa,402,4088,100,405
Mesa,402,4089,100,405
Mesa,402,4090,100,405
Mesa,402,4091,92,405
Mesa,402,4092,100,405
Mesa,402,4093,99,405
Mesa,402,4094,100,406
Mesa,402,4095,100,406
Mesa,402,4096,100,406
Mesa,402,4097,100,406
Mesa,402,4098,100,406
Mesa,402,4099,100,406
Mesa,402,4100,98,406
Mesa,402,4101,100,406
Mesa,402,4102,100,406
Mesa,402,4103,100,406
Mesa,402,4104,99,406
Mesa,402,4105,100,406
Mesa,402,4106,100,406
Mesa,402,4107,99,406
Mesa,402,4108,100,406
Mesa,402,4109,99,406
Mesa,402,4110,100,406
Mesa,402,4111,100,406
Mesa,402,4112,98,406
Mesa,402,4113,75,407
Mesa,402,4114,99,407
Mesa,402,4115,100,407
Mesa,402,4116,100,407
Mesa,402,4117,100,407
Mesa,402,4118,100,407
Mesa,402,4119,99,407
Mesa,402,4120,100,407
Mesa,402,4121,100,407
Mesa,402,4122,41,407
Mesa,402,4123,99,407
Mesa,402,4124,100,407
Mesa,402,4125,100,407
Mesa,402,4126,100,407
Mesa,402,4127,100,407
Mesa,402,4128,100,407
Mesa,402,4129,99,407
Mesa,402,4130,61,407
Mesa,402,4131,99,407
Mesa,402,4132,100,407
Mesa,402,4133,100,408
Mesa,402,4134,100,408
Mesa,402,4135,99,408
Mesa,402,4136,54,408
Mesa,402,4137,100,408
