County,Tabulator ID,Batch ID,# of Ballot Cards,Location
La Plata,201,295,50,Bin # 6
La Plata,201,296,50,Bin # 6
La Plata,201,297,50,Bin # 6
La Plata,201,298,50,Bin # 6
La Plata,201,299,50,Bin # 6
La Plata,201,300,50,Bin # 6
La Plata,201,301,50,Bin # 7
La Plata,201,302,50,Bin # 7
La Plata,201,303,50,Bin # 7
La Plata,201,304,50,Bin # 7
La Plata,201,305,50,Bin # 7
La Plata,201,306,50,Bin # 7
La Plata,201,307,50,Bin # 7
La Plata,201,308,50,Bin # 7
La Plata,201,309,50,Bin # 7
La Plata,201,310,50,Bin # 7
La Plata,201,311,50,Bin # 7
La Plata,201,312,50,Bin # 7
La Plata,201,313,50,Bin # 7
La Plata,201,314,50,Bin # 7
La Plata,201,315,50,Bin # 7
La Plata,201,316,50,Bin # 7
La Plata,201,317,50,Bin # 7
La Plata,201,318,50,Bin # 7
La Plata,201,319,50,Bin # 7
La Plata,201,320,50,Bin # 7
La Plata,201,321,50,Bin # 7
La Plata,201,322,50,Bin # 7
La Plata,201,323,50,Bin # 7
La Plata,201,324,50,Bin # 7
La Plata,201,325,50,Bin # 7
La Plata,201,326,50,Bin # 7
La Plata,201,327,50,Bin # 7
La Plata,201,328,50,Bin # 7
La Plata,201,329,50,Bin # 7
La Plata,201,330,50,Bin # 7
La Plata,201,331,50,Bin # 7
La Plata,201,332,50,Bin # 7
La Plata,201,333,50,Bin # 7
La Plata,201,334,50,Bin # 7
La Plata,201,335,50,Bin # 7
La Plata,201,336,50,Bin # 7
La Plata,201,337,50,Bin # 7
La Plata,201,338,50,Bin # 7
La Plata,201,339,50,Bin # 7
La Plata,201,340,50,Bin # 7
La Plata,201,341,50,Bin # 7
La Plata,201,342,50,Bin # 7
La Plata,201,343,50,Bin # 7
La Plata,201,344,50,Bin # 7
La Plata,201,345,50,Bin # 7
La Plata,201,346,50,Bin # 7
La Plata,201,347,50,Bin # 7
La Plata,201,348,50,Bin # 7
La Plata,201,349,50,Bin # 7
La Plata,201,350,50,Bin # 7
La Plata,201,351,50,Bin # 8
La Plata,201,352,50,Bin # 8
La Plata,201,353,50,Bin # 8
La Plata,201,354,50,Bin # 8
La Plata,201,355,50,Bin # 8
La Plata,201,356,50,Bin # 8
La Plata,201,357,50,Bin # 8
La Plata,201,358,50,Bin # 8
La Plata,201,359,1,Bin # 8
