County,Tabulator ID,Batch,# of Ballot Cards,Location,,,,,,,,,,,,,,,,
Eagle,101,211,25,10,,,,,,,,,,,,,,,,
Eagle,101,212,25,10,,,,,,,,,,,,,,,,
Eagle,101,213,25,10,,,,,,,,,,,,,,,,
Eagle,101,214,25,10,,,,,,,,,,,,,,,,
Eagle,101,215,25,10,,,,,,,,,,,,,,,,
Eagle,101,216,25,10,,,,,,,,,,,,,,,,
Eagle,101,217,25,10,,,,,,,,,,,,,,,,
Eagle,101,218,25,10,,,,,,,,,,,,,,,,
Eagle,101,219,25,10,,,,,,,,,,,,,,,,
Eagle,101,220,25,10,,,,,,,,,,,,,,,,
Eagle,101,221,25,10,,,,,,,,,,,,,,,,
Eagle,101,222,25,10,,,,,,,,,,,,,,,,
Eagle,101,223,25,11,,,,,,,,,,,,,,,,
Eagle,101,224,25,11,,,,,,,,,,,,,,,,
Eagle,101,225,25,11,,,,,,,,,,,,,,,,
Eagle,101,226,25,11,,,,,,,,,,,,,,,,
Eagle,101,227,25,11,,,,,,,,,,,,,,,,
Eagle,101,228,25,11,,,,,,,,,,,,,,,,
Eagle,101,229,25,11,,,,,,,,,,,,,,,,
Eagle,101,230,25,11,,,,,,,,,,,,,,,,
Eagle,101,231,25,11,,,,,,,,,,,,,,,,
Eagle,101,232,25,11,,,,,,,,,,,,,,,,
Eagle,101,233,25,11,,,,,,,,,,,,,,,,
Eagle,101,234,25,11,,,,,,,,,,,,,,,,
Eagle,101,235,25,11,,,,,,,,,,,,,,,,
Eagle,101,236,25,11,,,,,,,,,,,,,,,,
Eagle,101,237,25,11,,,,,,,,,,,,,,,,
Eagle,101,238,25,11,,,,,,,,,,,,,,,,
Eagle,101,239,25,11,,,,,,,,,,,,,,,,
Eagle,101,240,25,11,,,,,,,,,,,,,,,,
Eagle,101,241,25,11,,,,,,,,,,,,,,,,
Eagle,101,242,25,11,,,,,,,,,,,,,,,,
Eagle,101,243,25,11,,,,,,,,,,,,,,,,
Eagle,101,244,25,12,,,,,,,,,,,,,,,,
Eagle,101,245,25,12,,,,,,,,,,,,,,,,
Eagle,101,246,25,12,,,,,,,,,,,,,,,,
Eagle,101,247,25,12,,,,,,,,,,,,,,,,
Eagle,101,248,25,12,,,,,,,,,,,,,,,,
Eagle,101,249,25,12,,,,,,,,,,,,,,,,
Eagle,101,250,25,12,,,,,,,,,,,,,,,,
Eagle,101,251,25,12,,,,,,,,,,,,,,,,
Eagle,101,252,25,12,,,,,,,,,,,,,,,,
Eagle,101,253,25,12,,,,,,,,,,,,,,,,
Eagle,101,254,25,12,,,,,,,,,,,,,,,,
Eagle,101,255,25,12,,,,,,,,,,,,,,,,
Eagle,101,256,25,12,,,,,,,,,,,,,,,,
Eagle,101,257,25,12,,,,,,,,,,,,,,,,
Eagle,101,258,25,12,,,,,,,,,,,,,,,,
Eagle,101,259,25,12,,,,,,,,,,,,,,,,
Eagle,101,260,25,12,,,,,,,,,,,,,,,,
Eagle,101,261,25,12,,,,,,,,,,,,,,,,
Eagle,101,262,12,13,,,,,,,,,,,,,,,,
Eagle,101,263,25,13,,,,,,,,,,,,,,,,
Eagle,101,264,25,13,,,,,,,,,,,,,,,,
Eagle,101,265,25,13,,,,,,,,,,,,,,,,
Eagle,101,266,25,13,,,,,,,,,,,,,,,,
Eagle,101,267,25,13,,,,,,,,,,,,,,,,
Eagle,101,268,25,13,,,,,,,,,,,,,,,,
Eagle,101,269,25,13,,,,,,,,,,,,,,,,
Eagle,101,270,25,13,,,,,,,,,,,,,,,,
Eagle,101,271,25,13,,,,,,,,,,,,,,,,
Eagle,101,272,25,13,,,,,,,,,,,,,,,,
Eagle,101,273,25,13,,,,,,,,,,,,,,,,
Eagle,101,274,25,13,,,,,,,,,,,,,,,,
Eagle,101,275,25,13,,,,,,,,,,,,,,,,
Eagle,101,276,25,13,,,,,,,,,,,,,,,,
Eagle,101,277,25,13,,,,,,,,,,,,,,,,
Eagle,101,278,25,13,,,,,,,,,,,,,,,,
Eagle,101,279,25,13,,,,,,,,,,,,,,,,
Eagle,101,280,25,13,,,,,,,,,,,,,,,,
Eagle,101,281,25,13,,,,,,,,,,,,,,,,
Eagle,101,282,25,13,,,,,,,,,,,,,,,,
Eagle,101,283,25,13,,,,,,,,,,,,,,,,
Eagle,101,284,25,13,,,,,,,,,,,,,,,,
Eagle,101,285,25,13,,,,,,,,,,,,,,,,
Eagle,101,286,25,14,,,,,,,,,,,,,,,,
Eagle,101,287,25,14,,,,,,,,,,,,,,,,
Eagle,101,288,25,14,,,,,,,,,,,,,,,,
Eagle,101,289,25,14,,,,,,,,,,,,,,,,
Eagle,101,290,25,14,,,,,,,,,,,,,,,,
Eagle,101,291,25,14,,,,,,,,,,,,,,,,
Eagle,101,292,25,14,,,,,,,,,,,,,,,,
Eagle,101,293,25,14,,,,,,,,,,,,,,,,
Eagle,101,294,25,14,,,,,,,,,,,,,,,,
Eagle,101,295,25,14,,,,,,,,,,,,,,,,
Eagle,101,296,25,14,,,,,,,,,,,,,,,,
Eagle,101,297,25,14,,,,,,,,,,,,,,,,
Eagle,101,298,25,14,,,,,,,,,,,,,,,,
Eagle,101,299,25,14,,,,,,,,,,,,,,,,
Eagle,101,300,25,14,,,,,,,,,,,,,,,,
Eagle,101,301,25,14,,,,,,,,,,,,,,,,
Eagle,101,302,25,14,,,,,,,,,,,,,,,,
Eagle,101,303,17,14,,,,,,,,,,,,,,,,
Eagle,101,304,18,14,,,,,,,,,,,,,,,,
Eagle,101,305,25,15,,,,,,,,,,,,,,,,
Eagle,101,306,25,15,,,,,,,,,,,,,,,,
Eagle,101,307,25,15,,,,,,,,,,,,,,,,
Eagle,101,308,25,15,,,,,,,,,,,,,,,,
Eagle,101,309,25,15,,,,,,,,,,,,,,,,
