County,Tabulator ID,Batch,# of Ballots,Location
Douglas,1,PRES-0656,67,95
Douglas,1,PRES-0657,49,120
Douglas,1,PRES-0658,100,112
Douglas,1,PRES-0659,100,95
Douglas,1,PRES-0660,100,94
Douglas,1,PRES-0661,100,94
Douglas,1,PRES-0662,61,112
Douglas,1,PRES-0663,100,120
Douglas,1,PRES-0664,100,120
Douglas,1,PRES-0665,48,51
Douglas,1,PRES-0666,100,43
Douglas,1,PRES-0667,100,43
Douglas,1,PRES-0668,100,43
Douglas,1,PRES-0669,100,51
Douglas,1,PRES-0670,100,43
Douglas,1,PRES-0671,100,43
Douglas,1,PRES-0672,100,51
Douglas,1,PRES-0673,100,43
Douglas,1,PRES-0674,100,51
Douglas,1,PRES-0675,100,51
Douglas,1,PRES-0676,100,51
Douglas,1,PRES-0677,100,51
Douglas,1,PRES-0678,51,43
Douglas,1,PRES-0679,100,51
Douglas,1,PRES-0680,76,51
Douglas,1,PRES-0681,100,114
Douglas,1,PRES-0682,65,43
Douglas,1,PRES-0683,99,51
Douglas,1,PRES-0684,100,43
Douglas,1,PRES-0685,100,51
Douglas,1,PRES-0686,100,51
Douglas,1,PRES-0687,100,51
Douglas,1,PRES-0688,100,43
Douglas,1,PRES-0689,100,43
Douglas,1,PRES-0690,100,43
Douglas,1,PRES-0691,100,43
Douglas,1,PRES-0692,100,51
Douglas,1,PRES-0693,104,43
Douglas,1,PRES-0694,100,51
Douglas,1,PRES-0695,100,43
Douglas,1,PRES-0696,54,114
Douglas,1,PRES-0697,66,114
Douglas,1,PRES-0698,100,114
Douglas,1,PRES-0699,100,126
Douglas,1,PRES-0700,100,72
Douglas,1,PRES-0701,100,114
Douglas,1,PRES-0702,100,43
Douglas,1,PRES-0703,96,43
Douglas,1,PRES-0704,100,72
Douglas,1,PRES-0705,100,72
Douglas,1,PRES-0706,100,72
Douglas,1,PRES-0707,100,114
Douglas,1,PRES-0708,100,114
Douglas,1,PRES-0709,100,43
Douglas,1,PRES-0710,100,43
Douglas,1,PRES-0711,100,126
Douglas,1,PRES-0712,100,72
Douglas,1,PRES-0713,82,114
Douglas,1,PRES-0714,100,126
Douglas,1,PRES-0715,100,126
Douglas,1,PRES-0716,100,126
Douglas,1,PRES-0717,100,114
Douglas,1,PRES-0718,50,72
Douglas,1,PRES-0719,100,114
Douglas,1,PRES-0720,100,126
Douglas,1,PRES-0721,101,114
Douglas,1,PRES-0722,100,114
Douglas,1,PRES-0723,100,114
Douglas,1,PRES-0724,100,126
Douglas,1,PRES-0725,52,72
Douglas,1,PRES-0726,100,72
Douglas,1,PRES-0727,100,72
Douglas,1,PRES-0728,100,72
Douglas,1,PRES-0729,100,72
Douglas,1,PRES-0730,100,114
Douglas,1,PRES-0731,100,126
Douglas,1,PRES-0732,100,72
Douglas,1,PRES-0733,54,114
Douglas,1,PRES-0734,65,126
Douglas,1,PRES-0735,100,126
Douglas,1,PRES-0736,100,126
Douglas,1,PRES-0737,100,114
Douglas,1,PRES-0738,100,126
Douglas,1,PRES-0739,100,114
Douglas,1,PRES-0740,100,114
Douglas,1,PRES-0741,100,126
Douglas,1,PRES-0742,22,126
Douglas,1,PRES-0743,100,114
Douglas,1,PRES-0744,56,72
Douglas,1,PRES-0745,100,72
Douglas,1,PRES-0746,100,110
Douglas,1,PRES-0747,96,126
Douglas,1,PRES-0748,50,114
Douglas,1,PRES-0749,100,72
Douglas,1,PRES-0750,70,126
Douglas,1,PRES-0751,100,72
Douglas,1,PRES-0752,100,72
Douglas,1,PRES-0753,100,126
Douglas,1,PRES-0754,100,95
Douglas,1,PRES-0755,100,134
Douglas,1,PRES-0756,89,95
Douglas,1,PRES-0757,100,101
Douglas,1,PRES-0758,59,110
Douglas,1,PRES-0759,100,95
