contest_name,audit_reason,random_audit_status,ballot_card_count,winners,min_margin,risk_limit,audited_sample_count,two_vote_over_count,one_vote_over_count,one_vote_under_count,two_vote_under_count,disagreement_count,other_count,gamma,overstatements,optimistic_samples_to_audit,estimated_samples_to_audit
City of Delta Referred Issue 2B,opportunistic_benefits,in_progress,26044,"""No/against""",1311,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,124,124
City of Delta Referred Measure 2C,opportunistic_benefits,in_progress,26044,"""Yes/for""",441,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,368,368
City of Delta Referred Measure 2D,opportunistic_benefits,in_progress,26044,"""Yes/for""",1066,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,153,153
City of Delta Referred Measure 2E,opportunistic_benefits,in_progress,26044,"""No/against""",250,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,649,649
City of Delta Referred Measure 2F,opportunistic_benefits,in_progress,26044,"""Yes/for""",171,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,949,949
City of Delta Referred Measure 2G,opportunistic_benefits,in_progress,26044,"""No/against""",286,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,567,567
City of Delta Referred Measure 2H,opportunistic_benefits,in_progress,26044,"""Yes/for""",51,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,3180,3180
City of Edgewater Ballot Question 2F,opportunistic_benefits,ended,610888,"""No""",837,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,4544,4544
City of Edgewater Ballot Question 2G,opportunistic_benefits,ended,610888,"""Yes""",225,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,16903,16903
City of Edgewater Ballot Question 2H,opportunistic_benefits,ended,610888,"""No""",172,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,22111,22111
City of Edgewater Ballot Question 2I,opportunistic_benefits,ended,610888,"""No""",182,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,20896,20896
City of Evans Ballot Issue 2K,opportunistic_benefits,in_progress,250568,"""No/against""",700,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,2229,2229
CITY OF FEDERAL HEIGHTS BALLOT ISSUE 2A,opportunistic_benefits,ended,345797,"""No/against""",137,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,15714,15714
City of Florence Ballot Question 2C,opportunistic_benefits,in_progress,19960,"""Yes/for""",998,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,125,125
City of Fort Morgan - Ballot Question 2E,opportunistic_benefits,in_progress,10910,"""Yes/for""",492,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,139,139
City of Fort Morgan - Ballot Question 2F,opportunistic_benefits,in_progress,10910,"""Yes/for""",1065,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,64,64
City of Fountain - 2C,opportunistic_benefits,in_progress,556085,"""Yes/for""",3363,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1030,1030
City of Glendale Ballot Issue 2A,opportunistic_benefits,in_progress,532104,"""Yes/for""",576,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,5752,5752
City of Golden Ballot Question 2E,opportunistic_benefits,ended,610888,"""No""",2848,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1336,1336
City of Grand Junction Referred Measure 2A,opportunistic_benefits,in_progress,68803,"""Yes/for""",2451,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,175,175
City of Greeley Ballot Issue 2O,opportunistic_benefits,in_progress,250568,"""Yes/for""",12044,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,130,130
City of Greeley Ballot Issue 2P,opportunistic_benefits,in_progress,250568,"""Yes/for""",12546,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,125,125
City of Gunnison Ballot Question 2A,opportunistic_benefits,in_progress,9771,"""Yes/for""",844,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,73,73
City of Gunnison Ballot Question 2B,opportunistic_benefits,in_progress,9771,"""Yes/for""",861,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,71,71
City of Lafayette Ballot Issue 2A - Oil and Gas Pollution Tax,opportunistic_benefits,in_progress,353493,"""Yes/for""",6128,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,360,360
CITY OF LAKEWOOD BALLOT ISSUE 2D,opportunistic_benefits,ended,610888,"""Yes""",16766,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,227,227
City of Las Animas Ballot Issue 2C,opportunistic_benefits,in_progress,1921,"""No/against""",36,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,333,333
City of Las Animas Ballot Question 2A,opportunistic_benefits,in_progress,1921,"""Yes/for""",41,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,292,292
City of Las Animas Ballot Question 2B,opportunistic_benefits,in_progress,1921,"""Yes/for""",20,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,598,598
City of Las Animas Ballot Question 2D,opportunistic_benefits,in_progress,1921,"""Yes/for""",352,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,34,34
City of Littleton Ballot Question 3A,opportunistic_benefits,in_progress,1501517,"""No/against""",3423,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,2731,2731
City of Littleton Ballot Question 3B,opportunistic_benefits,in_progress,1501517,"""No/against""",4325,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,2162,2162
City of Littleton Ballot Question 3C,opportunistic_benefits,in_progress,1501517,"""No/against""",4961,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1885,1885
City of Littleton Ballot Question 3D,opportunistic_benefits,in_progress,1501517,"""No/against""",5626,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1662,1662
City of Littleton Ballot Question 3E,opportunistic_benefits,in_progress,1501517,"""Yes/for""",1761,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,5309,5309
City of Longmont Ballot Issue 3A,opportunistic_benefits,in_progress,604061,"""Yes/for""",11214,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,336,336
City of Longmont Ballot Issue 3B,opportunistic_benefits,in_progress,604061,"""Yes/for""",19839,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,190,190
City of Longmont Ballot Issue 3C,opportunistic_benefits,in_progress,604061,"""Yes/for""",4325,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,870,870
City of Northglenn Ballot Issue 3E,opportunistic_benefits,in_progress,596365,"""Yes/for""",2067,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1797,1797
CITY OF OURAY BALLOT ISSUE 2A,opportunistic_benefits,in_progress,3254,"""Yes/for""",160,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,127,127
City of Steamboat Springs Referendum 2A,opportunistic_benefits,in_progress,26748,"""No/against""",339,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,492,492
City of Steamboat Springs Referendum 2B,opportunistic_benefits,in_progress,26748,"""Yes/for""",5022,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,34,34
City of Steamboat Springs Referendum 2C,opportunistic_benefits,in_progress,26748,"""Yes/for""",1935,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,87,87
City of Sterling Referred Ballot Question 2C,opportunistic_benefits,in_progress,17546,"""No/against""",23,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,4750,4750
City of Victor Ballot Question 2B,opportunistic_benefits,ended,13041,"""No/against""",78,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1041,1041
CITY OF WHEAT RIDGE BALLOT ISSUE 2B,opportunistic_benefits,ended,610888,"""Yes""",6488,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,587,587
City of Wheat Ridge Ballot Question 2A,opportunistic_benefits,ended,610888,"""Yes""",9507,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,401,401
Clear Creek County Assessor,opportunistic_benefits,not_auditable,5523,"""Diane M. Settle""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Clear Creek County Clerk and Recorder,opportunistic_benefits,in_progress,5523,"""Brenda L. Corbett""",54,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,637,637
Clear Creek County Commissioner-District 1,opportunistic_benefits,in_progress,5523,"""George Marlin""",984,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,35,35
Clear Creek County Coroner,opportunistic_benefits,not_auditable,5523,"""Chris Hegmann""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Clear Creek County Sheriff,opportunistic_benefits,not_auditable,5523,"""Rick Albers""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Clear Creek County Surveyor,opportunistic_benefits,not_auditable,5523,"""Greg Markle""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Clear Creek County Treasurer,opportunistic_benefits,not_auditable,5523,"""Carol Lee""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
CLEAR CREEK SCHOOL DISTRICT RE-1 BALLOT ISSUE 4A,county_wide_contest,risk_limit_achieved,5523,"""Yes/for""",663,0.05000000,53,0,0,0,0,0,0,1.03905000,0.00,52,52
CLEAR CREEK SCHOOL DISTRICT RE-1 BALLOT ISSUE 4B,opportunistic_benefits,in_progress,5523,"""Yes/for""",1132,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,31,31
Clearview Library District Ballot Issue 6C,opportunistic_benefits,in_progress,250568,"""No/against""",4220,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,370,370
Clifton Fire Protection District Ballot Issue 6C - Referendum Mill Levy Gallagher Adjustment,opportunistic_benefits,in_progress,68803,"""Yes/for""",907,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,473,473
Colorado Court of Appeals Judge - Dailey,opportunistic_benefits,in_progress,4651905,"""Yes""",917123,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,32,32
Colorado Court of Appeals Judge - Freyre,opportunistic_benefits,in_progress,4651905,"""Yes""",953867,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,31,31
Colorado Court of Appeals Judge - Harris,opportunistic_benefits,in_progress,4640995,"""Yes""",511534,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,57,57
Colorado Court of Appeals Judge - Harris (Morgan),county_wide_contest,risk_limit_achieved,10910,"""Yes""",1945,0.05000000,36,0,0,0,0,0,0,1.03905000,0.00,35,35
Colorado Court of Appeals Judge - Richman,opportunistic_benefits,in_progress,4651905,"""Yes""",875538,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,34,34
Colorado Mountain College Local College District Ballot Issue 7D,opportunistic_benefits,in_progress,113702,"""Yes/for""",26816,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,27,27
Colorado Supreme Court Justice - Gabriel,opportunistic_benefits,in_progress,4649801,"""Yes""",943278,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,31,31
Colorado Supreme Court Justice - Gabriel (Phillips),county_wide_contest,risk_limit_achieved,2104,"""Yes""",665,0.05000000,21,0,0,0,0,0,0,1.03905000,0.00,20,20
Conejos County Assessor,opportunistic_benefits,not_auditable,7216,"""Naomi Martinez-keys""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
CONEJOS COUNTY BALLOT ISSUE 1A,opportunistic_benefits,ended,7216,"""No/against""",649,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,70,70
Conejos County Clerk and Recorder,opportunistic_benefits,not_auditable,7216,"""Nathan Ruybal""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Conejos County Commissioner District 2,opportunistic_benefits,ended,7216,"""Mitchell Jarvies""",996,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,46,46
Conejos County Coroner,county_wide_contest,risk_limit_achieved,7216,"""Richard A. Martin""",357,0.05000000,127,0,0,0,0,0,0,1.03905000,0.00,126,126
Conejos County Sheriff,opportunistic_benefits,ended,7216,"""Garth Crowther""",1647,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,28,28
Conejos County Surveyor,opportunistic_benefits,not_auditable,7216,"""Martin Reynolds""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Conejos County Treasurer,opportunistic_benefits,not_auditable,7216,"""Mack M. Crowther""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Copper Mountain Consolidated Metropolitan District Ballot Issue 6C,opportunistic_benefits,in_progress,19767,"""Yes/for""",201,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,613,613
Costilla County Assessor,opportunistic_benefits,not_auditable,3459,"""R. Thomas Aragon""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Costilla County Clerk and Recorder,opportunistic_benefits,not_auditable,3459,"""Najondine T. Placek""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Costilla County Commissioner District 2,opportunistic_benefits,not_auditable,3459,"""Michael \""mikey\"" V. Gallegos""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Costilla County Commissioner District 3,opportunistic_benefits,not_auditable,3459,"""Steven Romero""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Costilla County Coroner,opportunistic_benefits,not_auditable,3459,"""Gary R. Vigil""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Costilla County Court Judge - Wood,county_wide_contest,risk_limit_achieved,3459,"""Yes""",516,0.05000000,43,0,0,0,0,0,0,1.03905000,0.00,42,42
Costilla County Sheriff,opportunistic_benefits,not_auditable,3459,"""Danny R. Sanchez""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Costilla County Treasurer,opportunistic_benefits,not_auditable,3459,"""Lorraine C. Medina""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Councilmember District 2,opportunistic_benefits,in_progress,532104,"""Afshin Safavi""",59,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,56146,56146
Councilmember District 4,opportunistic_benefits,not_auditable,532104,"""Mike Gallagher""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Councilmember District 6,opportunistic_benefits,in_progress,532104,"""Katy Brown""",294,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,11268,11268
County Court Judge - Alamosa,opportunistic_benefits,in_progress,6199,"""Yes""",3121,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,13,13
County Court Judge - Briggs,opportunistic_benefits,in_progress,250568,"""Yes""",40425,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,39,39
County Court Judge - Denver - Barajas,opportunistic_benefits,in_progress,907316,"""Yes""",126729,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,45,45
County Court Judge - Denver - Campbell,opportunistic_benefits,in_progress,907316,"""Yes""",129226,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,44,44
County Court Judge - Denver - Eddy,opportunistic_benefits,in_progress,907316,"""Yes""",143419,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,40,40
County Court Judge - Denver - Espinosa,opportunistic_benefits,in_progress,907316,"""Yes""",139273,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,41,41
County Court Judge - Denver - Fay,opportunistic_benefits,in_progress,907316,"""Yes""",144095,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,40,40
County Court Judge - Denver - Gonzales,opportunistic_benefits,in_progress,907316,"""Yes""",146585,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,39,39
County Court Judge - Denver - Lombardi,opportunistic_benefits,in_progress,907316,"""Yes""",123152,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,46,46
County Court Judge - Denver - Malone,opportunistic_benefits,in_progress,907316,"""Yes""",148342,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,39,39
County Court Judge - Gardner,opportunistic_benefits,in_progress,10685,"""Yes""",2054,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,33,33
County Court Judge - Gilpin - Taylor,opportunistic_benefits,ended,3425,"""Yes""",1578,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,14,14
County Court Judge - Hansen,opportunistic_benefits,ended,2460,"""Yes""",1556,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,10,10
County Court Judge - Lynch,opportunistic_benefits,in_progress,184021,"""Yes""",77946,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,15,15
County Court Judge - Mesa - Raaum,opportunistic_benefits,in_progress,68803,"""Yes""",29000,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,15,15
County Court Judge - Meyer,opportunistic_benefits,in_progress,250568,"""Yes""",43335,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,36,36
County Court Judge - Montrose,county_wide_contest,risk_limit_achieved,19314,"""Yes""",6435,0.05000000,20,0,0,0,0,0,0,1.03905000,0.00,19,19
County Court Judge - Nichols,opportunistic_benefits,in_progress,250568,"""Yes""",36867,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,43,43
County Court Judge - Otero - Manley,opportunistic_benefits,ended,7588,"""Yes""",3897,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,13,13
County Court Judge - Prowers - Porter,opportunistic_benefits,in_progress,4272,"""Yes/for""",2217,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,12,12
County Court Judge - San Miguel County,opportunistic_benefits,in_progress,10767,"""Yes""",981,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,69,69
County Court Judge - Schoon,opportunistic_benefits,in_progress,184021,"""Yes""",44543,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,26,26
County Court Judge - Teller,opportunistic_benefits,ended,13041,"""Yes""",4904,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,17,17
County Court Judge - Unfug,opportunistic_benefits,in_progress,250568,"""Yes""",25848,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,61,61
Crawford Water Conservancy District Ballot Issue 6D,opportunistic_benefits,in_progress,26044,"""Yes/for""",143,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1134,1134
CRESTED BUTTE FIRE PROTECTION DISTRICT BALLOT ISSUE 6C,opportunistic_benefits,in_progress,9771,"""Yes/for""",892,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,69,69
Crowley County Assessor,opportunistic_benefits,not_auditable,1426,"""Doug England""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Crowley County Ballot Question 1A,opportunistic_benefits,in_progress,1426,"""Yes/for""",316,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,29,29
Crowley County Clerk and Recorder,county_wide_contest,risk_limit_achieved,1426,"""Melinda \""mindy\"" Carter""",677,0.05000000,15,0,0,0,0,0,0,1.03905000,0.00,14,14
Crowley County Commissioner - District 1-Non Pres,opportunistic_benefits,not_auditable,1426,"""Roy Allen Elliott""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Crowley County Coroner,opportunistic_benefits,not_auditable,1426,"""Gary Gibson""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Crowley County Sheriff,opportunistic_benefits,not_auditable,1426,"""John \""smokey\"" Kurtz""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Crowley County Treasurer,opportunistic_benefits,not_auditable,1426,"""Holly Mccuistion""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Custer County Assessor,opportunistic_benefits,not_auditable,2923,"""J.d. Henrich""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Custer County C-1 School District Ballot Question 4A,county_wide_contest,risk_limit_achieved,2923,"""Against The Proposed At-large Plan Of Representation""",234,0.05000000,78,0,0,0,0,0,0,1.03905000,0.00,78,78
Custer County Clerk and Recorder,opportunistic_benefits,not_auditable,2923,"""Kelley S. Camper""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Custer County Commissioner - District 1,opportunistic_benefits,not_auditable,2923,"""William R. (bill) Canda""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Custer County Coroner,opportunistic_benefits,not_auditable,2923,"""Arthur L. Nordyke""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Custer County Court Judge - Hunter,opportunistic_benefits,in_progress,2923,"""Yes""",983,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,19,19
Custer County Sheriff,opportunistic_benefits,not_auditable,2923,"""Shannon K. Byerly""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Custer County Surveyor,opportunistic_benefits,not_auditable,2923,"""Christopher L. (kit) Shy""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Custer County Treasurer,opportunistic_benefits,not_auditable,2923,"""Virginia Trujillo""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Delta County Assessor,opportunistic_benefits,not_auditable,26044,"""Debbie Griffith""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Delta County Clerk and Recorder,county_wide_contest,risk_limit_achieved,26044,"""Teri A. Stephenson""",6260,0.05000000,27,0,0,0,0,0,0,1.03905000,0.00,26,26
Delta County Commissioner - District 1,opportunistic_benefits,in_progress,26044,"""Mike Lane""",5292,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,31,31
Delta County Coroner,opportunistic_benefits,not_auditable,26044,"""Lance Boren""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Delta County Fire Protection District 1 Ballot Issue 6A,opportunistic_benefits,in_progress,26044,"""Yes/for""",35,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,4633,4633
Delta County Fire Protection District 1 Ballot Issue 6B,opportunistic_benefits,in_progress,26044,"""Yes/for""",275,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,590,590
Delta County Sheriff,opportunistic_benefits,not_auditable,26044,"""Mark Taylor""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Delta County Surveyor,opportunistic_benefits,not_auditable,26044,"""Jesse J. Messenger""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Delta County Treasurer,opportunistic_benefits,not_auditable,26044,"""Lisa J. Tafoya""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
District Attorney - 20th Judicial District,opportunistic_benefits,not_auditable,353493,"""Michael Dougherty""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
District Court Judge - 11th Judicial District - Lama,opportunistic_benefits,in_progress,46960,"""Yes""",10914,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,27,27
District Court Judge - 11th Judicial District - Wenner,opportunistic_benefits,in_progress,46960,"""Yes""",10840,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,27,27
District Court Judge - 12th Judicial District - Swift,opportunistic_benefits,in_progress,27755,"""Yes""",9206,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,19,19
District Court Judge - 13th Judicial District - Hobbs,opportunistic_benefits,in_progress,42917,"""Yes""",11044,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,25,25
District Court Judge - 13th Judicial District - McGuire III,opportunistic_benefits,in_progress,42917,"""Yes""",11949,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,23,23
District Court Judge - 13th Judicial District - Singer,opportunistic_benefits,in_progress,42917,"""Yes""",11867,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,23,23
District Court Judge - 14th Judicial District - O'Hara III,opportunistic_benefits,in_progress,53364,"""Yes""",11556,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,29,29
District Court Judge - 15th Judicial District - Davidson,opportunistic_benefits,in_progress,8092,"""Yes""",3137,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,17,17
District Court Judge - 17th Judicial District - Brown,opportunistic_benefits,in_progress,382471,"""Yes""",75386,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,32,32
District Court Judge - 17th Judicial District - Holbrook,opportunistic_benefits,in_progress,382471,"""Yes""",75106,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,32,32
District Court Judge - 17th Judicial District - Moss,opportunistic_benefits,in_progress,382471,"""Yes""",50831,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,47,47
District Court Judge - 17th Judicial District - Quick,opportunistic_benefits,in_progress,382471,"""Yes""",63227,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,38,38
District Court Judge - 18th Judicial District - Douglass,opportunistic_benefits,in_progress,907653,"""No""",38408,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,148,148
District Court Judge - 18th Judicial District - Herron,opportunistic_benefits,in_progress,907653,"""Yes""",183591,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,31,31
District Court Judge - 18th Judicial District - Kramer,opportunistic_benefits,in_progress,907653,"""Yes""",171063,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,34,34
District Court Judge - 18th Judicial District - Leutwyler III,opportunistic_benefits,in_progress,907653,"""Yes""",175358,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,33,33
District Court Judge - 18th Judicial District - Lung,opportunistic_benefits,in_progress,907653,"""Yes""",171221,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,34,34
District Court Judge - 18th Judicial District - McLean,opportunistic_benefits,in_progress,907653,"""Yes""",181072,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,32,32
District Court Judge - 18th Judicial District - Michaelson,opportunistic_benefits,in_progress,907653,"""Yes""",151965,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,38,38
District Court Judge - 18th Judicial District - Spear,opportunistic_benefits,in_progress,907653,"""Yes""",156383,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,37,37
District Court Judge - 18th Judicial District - Whitaker,opportunistic_benefits,in_progress,907653,"""Yes""",182411,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,31,31
District Court Judge - 19th Judicial District - Hartmann,opportunistic_benefits,in_progress,250568,"""Yes""",41807,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,38,38
District Court Judge - 19th Judicial District - Taylor,opportunistic_benefits,in_progress,250568,"""Yes""",38668,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,41,41
District Court Judge - 1st Judicial District - Bachmeyer,opportunistic_benefits,in_progress,614313,"""Yes""",124813,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,31,31
District Court Judge - 1st Judicial District - Hunt,opportunistic_benefits,in_progress,614313,"""Yes""",107613,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,36,36
District Court Judge - 1st Judicial District - Tighe,opportunistic_benefits,in_progress,614313,"""Yes""",6807,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,562,562
District Court Judge - 20th Judicial District - Mulvahill,opportunistic_benefits,in_progress,353493,"""Yes""",84435,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,27,27
District Court Judge - 20th Judicial District - Sierra,opportunistic_benefits,in_progress,353493,"""Yes""",89579,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,25,25
District Court Judge - 21st Judicial District - Timbreza,opportunistic_benefits,in_progress,68803,"""Yes""",26546,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,17,17
District Court Judge - 22nd Judicial District - Plewe,opportunistic_benefits,in_progress,13148,"""Yes""",5227,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,16,16
District Court Judge - 2nd Judicial District - Gilman,opportunistic_benefits,in_progress,907316,"""Yes""",146696,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,39,39
District Court Judge - 2nd Judicial District - Goldberg,opportunistic_benefits,in_progress,907316,"""Yes""",133474,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,43,43
