"County","Tabulator ID","Batch",". of Ballots","Location"
"Douglas","1","PRI-0542",100,49
"Douglas","1","PRI-0543",100,57
"Douglas","1","PRI-0544",100,58
"Douglas","1","PRI-0545",38,59
"Douglas","1","PRI-0546",99,62
"Douglas","1","PRI-0547",100,58
"Douglas","1","PRI-0548",100,58
"Douglas","1","PRI-0549",100,58
"Douglas","1","PRI-0550",100,58
"Douglas","1","PRI-0551",100,60
"Douglas","1","PRI-0552",100,58
"Douglas","1","PRI-0553",100,59
"Douglas","1","PRI-0554",100,60
"Douglas","1","PRI-0555",100,62
"Douglas","1","PRI-0556",100,62
"Douglas","1","PRI-0557",100,60
"Douglas","1","PRI-0558",100,86
"Douglas","1","PRI-0559",100,60
"Douglas","1","PRI-0560",100,58
"Douglas","1","PRI-0561",100,59
"Douglas","1","PRI-0562",100,66
"Douglas","1","PRI-0563",100,59
"Douglas","1","PRI-0564",97,59
"Douglas","1","PRI-0565",100,59
"Douglas","1","PRI-0566",100,59
"Douglas","1","PRI-0567",100,60
"Douglas","1","PRI-0568",100,62
"Douglas","1","PRI-0569",100,62
"Douglas","1","PRI-0570",100,60
"Douglas","1","PRI-0571",100,62
"Douglas","1","PRI-0572",46,62
"Douglas","1","PRI-0573",100,62
"Douglas","1","PRI-0574",100,62
"Douglas","1","PRI-0575",100,62
"Douglas","1","PRI-0576",100,66
"Douglas","1","PRI-0577",100,60
"Douglas","1","PRI-0578",100,62
"Douglas","1","PRI-0579",100,59
"Douglas","1","PRI-0580",100,58
"Douglas","1","PRI-0581",81,60
"Douglas","1","PRI-0582",100,60
"Douglas","1","PRI-0583",100,58
"Douglas","1","PRI-0584",100,58
"Douglas","1","PRI-0585",100,62
"Douglas","1","PRI-0586",100,86
"Douglas","1","PRI-0587",100,62
"Douglas","1","PRI-0588",100,59
"Douglas","1","PRI-0589",100,58
"Douglas","1","PRI-0590",48,58
"Douglas","1","PRI-0591",74,58
"Douglas","1","PRI-0592",100,66
"Douglas","1","PRI-0593",100,58
"Douglas","1","PRI-0594",100,60
"Douglas","1","PRI-0595",100,62
"Douglas","1","PRI-0596",100,66
"Douglas","1","PRI-0597",100,59
"Douglas","1","PRI-0598",100,66
"Douglas","1","PRI-0599",100,59
"Douglas","1","PRI-0600",100,62
"Douglas","1","PRI-0601",100,58
"Douglas","1","PRI-0602",100,62
"Douglas","1","PRI-0603",100,59
"Douglas","1","PRI-0604",100,58
"Douglas","1","PRI-0605",100,66
"Douglas","1","PRI-0606",100,62
"Douglas","1","PRI-0607",100,66
"Douglas","1","PRI-0608",100,66
"Douglas","1","PRI-0609",100,66
"Douglas","1","PRI-0610",100,59
"Douglas","1","PRI-0611",100,62
"Douglas","1","PRI-0612",100,66
"Douglas","1","PRI-0613",100,63
"Douglas","1","PRI-0614",100,66
"Douglas","1","PRI-0615",100,59
"Douglas","1","PRI-0616",100,58
"Douglas","1","PRI-0617",100,63
"Douglas","1","PRI-0618",100,58
"Douglas","1","PRI-0619",100,59
"Douglas","1","PRI-0620",100,59
"Douglas","1","PRI-0621",100,66
"Douglas","1","PRI-0622",100,63
"Douglas","1","PRI-0623",100,62
"Douglas","1","PRI-0624",100,63
"Douglas","1","PRI-0625",100,59
"Douglas","1","PRI-0626",100,59
"Douglas","1","PRI-0627",100,59
"Douglas","1","PRI-0628",100,58
"Douglas","1","PRI-0629",100,63
"Douglas","1","PRI-0630",100,66
"Douglas","1","PRI-0631",100,62
"Douglas","1","PRI-0632",100,58
"Douglas","1","PRI-0633",100,62
"Douglas","1","PRI-0634",100,66
"Douglas","1","PRI-0635",100,66
"Douglas","1","PRI-0636",100,60
"Douglas","1","PRI-0637",100,73
"Douglas","1","PRI-0638",28,66
"Douglas","1","PRI-0639",100,63
"Douglas","1","PRI-0640",100,59
"Douglas","1","PRI-0641",100,63
"Douglas","1","PRI-0642",60,63
"Douglas","1","PRI-0643",100,58
"Douglas","1","PRI-0644",100,58
"Douglas","1","PRI-0645",100,62
"Douglas","1","PRI-0646",100,66
"Douglas","1","PRI-0647",100,66
"Douglas","1","PRI-0648",74,66
"Douglas","1","PRI-0649",100,58
"Douglas","1","PRI-0650",100,72
"Douglas","1","PRI-0651",100,59
"Douglas","1","PRI-0652",100,59
"Douglas","1","PRI-0653",100,58
"Douglas","1","PRI-0654",100,63
"Douglas","1","PRI-0655",98,72
"Douglas","1","PRI-0656",22,63
"Douglas","1","PRI-0657",100,66
"Douglas","1","PRI-0658",82,58
"Douglas","1","PRI-0659",100,63
"Douglas","1","PRI-0660",100,66
"Douglas","1","PRI-0661",100,66
"Douglas","1","PRI-0662",100,73
"Douglas","1","PRI-0663",100,63
"Douglas","1","PRI-0664",83,72
"Douglas","1","PRI-0665",100,73
"Douglas","1","PRI-0666",100,73
"Douglas","1","PRI-0667",100,66
"Douglas","1","PRI-0668",100,72
"Douglas","1","PRI-0669",100,63
"Douglas","1","PRI-0670",40,63
"Douglas","1","PRI-0671",100,73
"Douglas","1","PRI-0672",100,73
"Douglas","1","PRI-0673",100,72
"Douglas","1","PRI-0674",100,72
"Douglas","1","PRI-0675",62,78
"Douglas","1","PRI-0676",100,73
"Douglas","1","PRI-0677",100,78
"Douglas","1","PRI-0678",85,78
"Douglas","1","PRI-0679",100,78
"Douglas","1","PRI-0680",99,73
"Douglas","1","PRI-0681",100,78
"Douglas","1","PRI-0682",100,78
"Douglas","1","PRI-0683",100,78
"Douglas","1","PRI-0684",100,92
"Douglas","1","PRI-0685",22,78
"Douglas","1","PRI-0686",100,72
"Douglas","1","PRI-0687",100,72
"Douglas","1","PRI-0688",100,92
"Douglas","1","PRI-0689",100,92
"Douglas","1","PRI-0690",29,82
"Douglas","1","PRI-0691",100,80
"Douglas","1","PRI-0692",100,72
"Douglas","1","PRI-0693",100,80
"Douglas","1","PRI-0694",100,89
"Douglas","1","PRI-0695",100,72
"Douglas","1","PRI-0696",99,80
"Douglas","1","PRI-0697",100,80
"Douglas","1","PRI-0698",33,82
"Douglas","1","PRI-0699",100,80
