County,Tabulator,Batch,. of Ballots,Location
Douglas,1,PRI-0350,100,43
Douglas,1,PRI-0351,100,43
Douglas,1,PRI-0352,100,45
Douglas,1,PRI-0353,100,28
Douglas,1,PRI-0354,100,70
Douglas,1,PRI-0355,90,45
Douglas,1,PRI-0356,100,45
Douglas,1,PRI-0357,100,28
Douglas,1,PRI-0358,99,68
Douglas,1,PRI-0359,100,28
Douglas,1,PRI-0360,100,45
Douglas,1,PRI-0361,100,70
Douglas,1,PRI-0362,99,14
Douglas,1,PRI-0363,100,28
Douglas,1,PRI-0364,99,27
Douglas,1,PRI-0365,100,28
Douglas,1,PRI-0366,100,45
Douglas,1,PRI-0367,100,27
Douglas,1,PRI-0368,100,13
Douglas,1,PRI-0369,60,13
Douglas,1,PRI-0370,76,45
Douglas,1,PRI-0371,100,70
Douglas,1,PRI-0372,100,14
Douglas,1,PRI-0373,100,43
Douglas,1,PRI-0374,100,68
Douglas,1,PRI-0375,99,43
Douglas,1,PRI-0376,100,70
Douglas,1,PRI-0377,100,68
Douglas,1,PRI-0378,100,28
Douglas,1,PRI-0379,99,45
Douglas,1,PRI-0380,59,68
Douglas,1,PRI-0381,100,27
Douglas,1,PRI-0382,82,27
Douglas,1,PRI-0383,52,16
Douglas,1,PRI-0384,88,45
Douglas,1,PRI-0385,100,45
Douglas,1,PRI-0386,100,45
Douglas,1,PRI-0387,100,14
Douglas,1,PRI-0388,100,43
Douglas,1,PRI-0389,100,45
Douglas,1,PRI-0390,100,28
Douglas,1,PRI-0391,100,70
Douglas,1,PRI-0392,100,28
Douglas,1,PRI-0393,100,28
Douglas,1,PRI-0394,100,14
Douglas,1,PRI-0395,53,14
Douglas,1,PRI-0396,100,68
Douglas,1,PRI-0397,100,28
Douglas,1,PRI-0398,100,68
Douglas,1,PRI-0399,100,28
Douglas,1,PRI-0400,100,28
Douglas,1,PRI-0401,100,28
Douglas,1,PRI-0402,100,14
Douglas,1,PRI-0403,94,32
Douglas,1,PRI-0404,99,32
Douglas,1,PRI-0405,53,14
Douglas,1,PRI-0406,100,45
Douglas,1,PRI-0407,99,14
Douglas,1,PRI-0408,100,13
Douglas,1,PRI-0409,100,14
Douglas,1,PRI-0410,100,68
Douglas,1,PRI-0411,100,68
Douglas,1,PRI-0412,100,68
Douglas,1,PRI-0413,100,45
Douglas,1,PRI-0414,100,70
Douglas,1,PRI-0415,100,28
Douglas,1,PRI-0416,41,43
Douglas,1,PRI-0417,100,28
Douglas,1,PRI-0418,100,68
Douglas,1,PRI-0419,100,14
Douglas,1,PRI-0420,100,27
Douglas,1,PRI-0421,100,28
Douglas,1,PRI-0422,100,14
Douglas,1,PRI-0423,100,14
Douglas,1,PRI-0424,100,28
Douglas,1,PRI-0425,100,28
Douglas,1,PRI-0426,61,14
Douglas,1,PRI-0427,100,45
Douglas,1,PRI-0428,100,14
Douglas,1,PRI-0429,100,13
Douglas,1,PRI-0430,47,67
Douglas,1,PRI-0431,100,28
Douglas,1,PRI-0432,100,68
Douglas,1,PRI-0433,100,28
Douglas,1,PRI-0434,100,70
Douglas,1,PRI-0435,100,68
Douglas,1,PRI-0436,79,45
Douglas,1,PRI-0437,98,32
Douglas,1,PRI-0438,100,46
Douglas,1,PRI-0439,100,16
Douglas,1,PRI-0440,100,46
Douglas,1,PRI-0441,100,46
Douglas,1,PRI-0442,100,46
Douglas,1,PRI-0443,59,72
Douglas,1,PRI-0444,100,45
Douglas,1,PRI-0445,98,16
Douglas,1,PRI-0446,100,32
Douglas,1,PRI-0447,100,32
Douglas,1,PRI-0448,100,32
Douglas,1,PRI-0449,100,28
Douglas,1,PRI-0450,100,28
Douglas,1,PRI-0451,100,16
Douglas,1,PRI-0452,64,32
Douglas,1,PRI-0453,100,32
Douglas,1,PRI-0454,100,46
Douglas,1,PRI-0455,100,28
Douglas,1,PRI-0456,100,16
Douglas,1,PRI-0457,100,70
Douglas,1,PRI-0458,100,16
Douglas,1,PRI-0459,100,16
Douglas,1,PRI-0460,100,16
Douglas,1,PRI-0461,100,14
Douglas,1,PRI-0462,82,16
Douglas,1,PRI-0463,62,14
Douglas,1,PRI-0464,100,16
Douglas,1,PRI-0465,100,72
Douglas,1,PRI-0466,100,70
Douglas,1,PRI-0467,100,32
Douglas,1,PRI-0468,100,46
Douglas,1,PRI-0469,100,72
Douglas,1,PRI-0470,100,70
Douglas,1,PRI-0471,100,45
Douglas,1,PRI-0472,100,46
Douglas,1,PRI-0473,100,70
Douglas,1,PRI-0474,100,45
Douglas,1,PRI-0475,100,70
Douglas,1,PRI-0476,100,46
Douglas,1,PRI-0477,100,70
Douglas,1,PRI-0478,100,16
Douglas,1,PRI-0479,100,72
Douglas,1,PRI-0480,100,46
Douglas,1,PRI-0481,100,32
Douglas,1,PRI-0482,100,70
Douglas,1,PRI-0483,100,72
Douglas,1,PRI-0484,77,46
Douglas,1,PRI-0485,84,45
Douglas,1,PRI-0486,61,72
Douglas,1,PRI-0487,100,16
Douglas,1,PRI-0488,100,46
Douglas,1,PRI-0489,100,16
Douglas,1,PRI-0490,100,72
Douglas,1,PRI-0491,100,72
Douglas,1,PRI-0492,87,72
Douglas,1,PRI-0493,51,32
