County,Tabulator,Batch,# of Ballot Cards,Location
Jefferson,106,91,199,94
Jefferson,104,78,200,95
Jefferson,104,79,200,95
Jefferson,104,80,200,95
Jefferson,104,81,200,95
Jefferson,104,82,200,95
Jefferson,104,83,199,95
Jefferson,104,84,200,95
Jefferson,105,43,200,96
Jefferson,105,44,200,96
Jefferson,105,45,200,96
Jefferson,105,46,200,96
Jefferson,105,48,200,96
Jefferson,105,49,199,96
Jefferson,105,50,200,96
Jefferson,108,43,200,97
Jefferson,108,44,200,97
Jefferson,108,45,211,97
Jefferson,108,46,200,97
Jefferson,108,47,200,97
Jefferson,108,48,200,97
Jefferson,108,49,200,97
Jefferson,109,106,200,98
Jefferson,109,107,200,98
Jefferson,109,108,200,98
Jefferson,109,109,200,98
Jefferson,109,110,200,98
Jefferson,109,111,200,98
Jefferson,109,112,200,98
Jefferson,107,106,200,99
Jefferson,107,107,199,99
Jefferson,107,108,200,99
Jefferson,107,109,200,99
Jefferson,107,110,200,99
Jefferson,107,111,200,99
Jefferson,107,112,200,99
Jefferson,101,85,200,100
Jefferson,101,86,199,100
Jefferson,101,87,200,100
Jefferson,101,88,200,100
Jefferson,101,89,200,100
Jefferson,101,90,200,100
Jefferson,101,91,200,100
Jefferson,104,85,200,101
Jefferson,104,86,200,101
Jefferson,104,87,200,101
Jefferson,104,88,200,101
Jefferson,104,89,200,101
Jefferson,104,90,200,101
Jefferson,104,91,200,101
Jefferson,108,50,199,102
Jefferson,108,51,200,102
Jefferson,108,52,200,102
Jefferson,108,53,200,102
Jefferson,108,54,200,102
Jefferson,108,55,200,102
Jefferson,108,56,200,102
Jefferson,102,43,200,103
Jefferson,102,44,200,103
Jefferson,102,45,200,103
Jefferson,102,46,188,103
Jefferson,102,47,200,103
Jefferson,102,48,200,103
Jefferson,102,49,200,103
Jefferson,103,64,200,104
Jefferson,103,65,200,104
Jefferson,103,66,200,104
Jefferson,103,67,199,104
Jefferson,103,68,200,104
Jefferson,103,69,200,104
Jefferson,103,70,200,104
Jefferson,104,92,200,105
Jefferson,104,93,200,105
Jefferson,104,94,200,105
Jefferson,104,95,200,105
Jefferson,104,96,200,105
Jefferson,104,97,199,105
Jefferson,104,98,200,105
Jefferson,109,113,200,106
Jefferson,109,114,300,106
Jefferson,109,115,200,106
Jefferson,109,116,200,106
Jefferson,109,117,200,106
Jefferson,109,118,300,106
Jefferson,109,119,200,106
Jefferson,105,51,200,107
Jefferson,105,52,200,107
Jefferson,105,53,200,107
Jefferson,105,54,200,107
Jefferson,105,55,200,107
Jefferson,105,56,200,107
Jefferson,105,57,200,107
Jefferson,101,92,200,108
Jefferson,101,93,200,108
Jefferson,101,94,200,108
Jefferson,101,95,200,108
Jefferson,101,96,200,108
Jefferson,101,97,200,108
Jefferson,101,98,200,108
Jefferson,107,113,212,109
Jefferson,107,114,173,109
Jefferson,107,115,200,109
Jefferson,107,116,200,109
Jefferson,107,117,200,109
Jefferson,107,118,200,109
Jefferson,107,119,200,109
Jefferson,106,92,200,110
Jefferson,106,93,200,110
Jefferson,106,94,200,110
Jefferson,106,95,200,110
Jefferson,106,96,200,110
Jefferson,106,97,200,110
Jefferson,106,98,200,110
Jefferson,108,57,200,111
Jefferson,108,58,200,111
Jefferson,108,59,200,111
Jefferson,108,60,200,111
Jefferson,108,61,200,111
Jefferson,108,62,200,111
Jefferson,108,63,206,111
Jefferson,107,120,200,112
Jefferson,107,121,199,112
Jefferson,107,122,200,112
Jefferson,107,123,200,112
Jefferson,107,124,200,112
Jefferson,107,125,200,112
Jefferson,107,126,200,112
Jefferson,103,71,199,113
Jefferson,103,72,200,113
Jefferson,103,73,200,113
Jefferson,103,74,200,113
Jefferson,103,75,200,113
Jefferson,103,76,222,113
Jefferson,103,77,200,113
Jefferson,104,99,200,114
Jefferson,104,100,200,114
Jefferson,104,101,200,114
Jefferson,104,102,200,114
Jefferson,104,103,200,114
Jefferson,104,104,200,114
Jefferson,104,105,200,114
Jefferson,102,50,200,115
Jefferson,102,51,200,115
Jefferson,102,52,200,115
Jefferson,102,53,200,115
Jefferson,102,54,200,115
Jefferson,102,55,200,115
Jefferson,102,56,203,115
Jefferson,101,99,200,116
Jefferson,101,100,200,116
Jefferson,101,101,200,116
Jefferson,101,102,200,116
Jefferson,101,103,200,116
Jefferson,101,104,200,116
Jefferson,101,105,200,116
Jefferson,109,120,259,117
Jefferson,109,121,200,117
Jefferson,109,122,199,117
Jefferson,109,123,178,117
Jefferson,109,124,200,117
Jefferson,109,125,200,117
Jefferson,109,126,200,117
Jefferson,107,127,200,118
Jefferson,107,128,200,118
Jefferson,107,129,200,118
Jefferson,107,130,200,118
Jefferson,107,131,200,118
Jefferson,107,132,200,118
Jefferson,107,133,199,118
Jefferson,106,99,200,119
Jefferson,106,100,199,119
Jefferson,106,101,200,119
Jefferson,106,102,200,119
Jefferson,106,103,200,119
Jefferson,106,104,200,119
Jefferson,106,105,200,119
Jefferson,105,58,200,120
Jefferson,105,59,200,120
Jefferson,105,60,200,120
Jefferson,105,61,200,120
Jefferson,105,62,200,120
Jefferson,105,63,200,120
Jefferson,105,64,200,120
Jefferson,107,134,200,122
Jefferson,107,135,200,122
Jefferson,107,136,200,122
Jefferson,107,137,200,122
Jefferson,107,138,199,122
Jefferson,107,139,200,122
Jefferson,107,140,200,122
Jefferson,110,9,200,128
Jefferson,110,10,200,128
Jefferson,110,11,204,128
Jefferson,110,12,158,128
Jefferson,110,13,200,128
Jefferson,110,14,200,128
Jefferson,110,15,200,128
Jefferson,101,106,200,121
Jefferson,101,107,199,121
Jefferson,101,108,200,121
