County,Tabulator,Batch #,# of ballots,Location
Adams,104,60,100,Box 104-5
Adams,104,61,98,Box 104-5
Adams,104,62,100,Box 104-5
Adams,104,63,100,Box 104-5
Adams,104,64,100,Box 104-5
Adams,104,65,100,Box 104-5
Adams,104,66,100,Box 104-5
Adams,104,67,100,Box 104-5
Adams,104,68,100,Box 104-5
Adams,104,69,100,Box 104-5
Adams,104,70,100,Box 104-6
Adams,104,71,97,Box 104-6
Adams,104,72,98,Box 104-6
Adams,104,73,24,Box 104-6
Adams,104,74,76,Box 104-6
Adams,104,75,100,Box 104-6
Adams,104,76,99,Box 104-6
Adams,104,77,100,Box 104-6
Adams,104,78,100,Box 104-6
Adams,104,79,99,Box 104-6
Adams,104,80,100,Box 104-6
Adams,104,81,100,Box 104-6
Adams,104,82,100,Box 104-6
Adams,104,83,100,Box 104-7
Adams,104,84,100,Box 104-7
Adams,104,85,100,Box 104-7
Adams,104,86,100,Box 104-7
Adams,104,87,100,Box 104-7
Adams,104,88,100,Box 104-7
Adams,104,89,100,Box 104-7
Adams,104,90,100,Box 104-7
Adams,104,91,100,Box 104-7
Adams,104,92,100,Box 104-7
Adams,104,93,100,Box 104-7
Adams,104,94,100,Box 104-7
Adams,104,95,99,Box 104-7
Adams,104,96,100,Box 104-8
Adams,104,97,100,Box 104-8
Adams,104,98,99,Box 104-8
Adams,104,99,100,Box 104-8
Adams,104,100,99,Box 104-8
Adams,104,101,100,Box 104-8
Adams,104,102,99,Box 104-8
Adams,104,103,100,Box 104-8
Adams,104,104,100,Box 104-8
Adams,104,105,100,Box 104-8
Adams,104,106,100,Box 104-8
Adams,104,107,99,Box 104-8
Adams,104,108,127,Box 104-8
Adams,104,109,100,Box 104-9
Adams,104,110,100,Box 104-9
Adams,104,111,100,Box 104-9
Adams,104,112,100,Box 104-9
Adams,104,113,100,Box 104-9
Adams,104,114,100,Box 104-9
Adams,104,115,100,Box 104-9
Adams,104,116,100,Box 104-9
Adams,104,117,100,Box 104-9
Adams,104,118,100,Box 104-9
Adams,104,119,100,Box 104-9
Adams,104,120,100,Box 104-9
Adams,104,121,100,Box 104-9
Adams,104,122,100,Box 104-10
Adams,104,123,100,Box 104-10
Adams,104,124,100,Box 104-10
Adams,104,125,98,Box 104-10
Adams,104,126,100,Box 104-10
Adams,104,127,100,Box 104-10
Adams,104,128,99,Box 104-10
Adams,104,129,99,Box 104-10
Adams,104,130,100,Box 104-10
Adams,104,131,100,Box 104-10
Adams,104,132,100,Box 104-10
Adams,104,133,100,Box 104-10
Adams,104,134,100,Box 104-11
Adams,104,135,99,Box 104-11
Adams,104,136,99,Box 104-11
Adams,104,137,100,Box 104-11
Adams,104,138,99,Box 104-11
Adams,104,139,100,Box 104-11
Adams,104,140,100,Box 104-11
Adams,104,141,100,Box 104-11
Adams,104,142,100,Box 104-11
Adams,104,143,100,Box 104-11
Adams,104,144,100,Box 104-11
Adams,104,145,100,Box 104-11
Adams,104,146,100,Box 104-11
