County,Tabulator ID,Batch,#of Ballot Cards,Location
Routt,102,164,24,3
Routt,102,165,24,3
Routt,102,166,24,3
Routt,102,167,24,3
Routt,102,168,24,3
Routt,102,169,24,3
Routt,102,170,24,3
Routt,102,171,24,3
Routt,102,172,23,3
Routt,102,173,23,3
Routt,102,174,23,3
Routt,102,175,23,3
Routt,102,176,22,3
Routt,102,177,20,3
Routt,102,178,16,3
Routt,102,179,16,3
Routt,102,180,25,3
Routt,102,181,7,3
Routt,102,182,33,3
Routt,102,183,25,3
Routt,102,184,25,3
Routt,102,185,25,3
Routt,102,186,25,3
Routt,102,187,25,3
Routt,102,188,25,3
Routt,102,189,24,3
Routt,102,190,25,3
Routt,102,191,25,4
Routt,102,192,25,4
Routt,102,193,25,4
Routt,102,194,25,4
Routt,102,195,25,4
Routt,102,196,25,4
Routt,102,197,25,4
Routt,102,198,25,4
Routt,102,199,25,4
Routt,102,200,25,4
Routt,102,201,25,4
Routt,102,202,25,4
Routt,102,203,25,4
Routt,102,204,25,4
Routt,102,205,25,4
Routt,102,206,25,4
Routt,102,207,25,4
Routt,102,208,24,4
Routt,102,209,24,4
Routt,102,210,24,4
Routt,102,211,24,4
Routt,102,212,24,4
Routt,102,213,24,4
Routt,102,214,24,4
Routt,102,215,24,4
Routt,102,216,24,4
Routt,102,217,24,4
Routt,102,218,24,4
Routt,102,219,24,4
Routt,102,220,24,4
Routt,102,221,24,4
Routt,102,222,24,4
Routt,102,223,24,4
Routt,102,224,24,4
Routt,102,225,24,4
Routt,102,226,24,4
Routt,102,227,24,4
Routt,102,228,24,4
Routt,102,229,24,4
Routt,102,230,23,4
Routt,102,231,23,4
Routt,102,232,23,4
Routt,102,233,23,4
Routt,102,234,23,4
Routt,102,235,23,4
Routt,102,236,23,4
Routt,102,237,23,4
Routt,102,238,22,4
Routt,102,239,22,4
Routt,102,240,22,4
Routt,102,241,22,4
Routt,102,242,19,4
Routt,102,243,30,4
Routt,102,244,8,4
Routt,102,245,20,4
Routt,102,246,32,4
Routt,102,247,25,5
Routt,102,248,25,5
Routt,102,249,25,5
Routt,102,250,25,5
Routt,102,251,25,5
Routt,102,252,25,5
Routt,102,253,25,5
Routt,102,254,25,5
Routt,102,255,25,5
Routt,102,256,25,5
Routt,102,257,25,5
Routt,102,258,25,5
Routt,102,259,25,5
