County,Tabulator ID,TrackingId,BatchCount,BallotStorageBox
Douglas,1,COORD-0583,100,72
Douglas,1,COORD-0584,100,62
Douglas,1,COORD-0585,100,75
Douglas,1,COORD-0586,100,75
Douglas,1,COORD-0587,100,72
Douglas,1,COORD-0588,100,75
Douglas,1,COORD-0589,100,76
Douglas,1,COORD-0590,100,62
Douglas,1,COORD-0591,100,73
Douglas,1,COORD-0592,100,74
Douglas,1,COORD-0593,100,76
Douglas,1,COORD-0594,100,76
Douglas,1,COORD-0595,100,78
Douglas,1,COORD-0596,100,76
Douglas,1,COORD-0597,100,84
Douglas,1,COORD-0598,100,75
Douglas,1,COORD-0599,100,78
Douglas,1,COORD-0600,100,75
Douglas,1,COORD-0601,100,73
Douglas,1,COORD-0602,100,89
Douglas,1,COORD-0603,100,72
Douglas,1,COORD-0604,100,75
Douglas,1,COORD-0605,100,103
Douglas,1,COORD-0606,100,74
Douglas,1,COORD-0607,100,85
Douglas,1,COORD-0608,100,76
Douglas,1,COORD-0609,100,78
Douglas,1,COORD-0610,100,75
Douglas,1,COORD-0611,99,81
Douglas,1,COORD-0612,100,73
Douglas,1,COORD-0613,100,76
Douglas,1,COORD-0614,100,81
Douglas,1,COORD-0615,100,81
Douglas,1,COORD-0616,99,81
Douglas,1,COORD-0617,99,81
Douglas,1,COORD-0618,100,75
Douglas,1,COORD-0619,100,76
Douglas,1,COORD-0620,100,76
Douglas,1,COORD-0621,100,75
Douglas,1,COORD-0622,100,75
Douglas,1,COORD-0623,100,85
Douglas,1,COORD-0624,100,73
Douglas,1,COORD-0625,100,75
Douglas,1,COORD-0626,100,95
Douglas,1,COORD-0627,100,78
Douglas,1,COORD-0628,100,84
Douglas,1,COORD-0629,100,95
Douglas,1,COORD-0630,100,62
Douglas,1,COORD-0631,100,76
Douglas,1,COORD-0632,100,73
Douglas,1,COORD-0633,100,81
Douglas,1,COORD-0634,100,85
Douglas,1,COORD-0635,100,84
Douglas,1,COORD-0636,100,78
Douglas,1,COORD-0637,100,84
Douglas,1,COORD-0638,100,78
Douglas,1,COORD-0639,100,78
Douglas,1,COORD-0640,100,76
Douglas,1,COORD-0641,100,103
Douglas,1,COORD-0642,100,81
Douglas,1,COORD-0643,100,84
Douglas,1,COORD-0644,100,78
Douglas,1,COORD-0645,100,78
Douglas,1,COORD-0646,100,73
Douglas,1,COORD-0647,100,81
Douglas,1,COORD-0648,100,73
Douglas,1,COORD-0649,100,84
Douglas,1,COORD-0650,25,92
Douglas,1,COORD-0651,100,99
Douglas,1,COORD-0652,100,103
Douglas,1,COORD-0653,100,81
Douglas,1,COORD-0654,100,78
Douglas,1,COORD-0655,100,73
Douglas,1,COORD-0656,100,99
Douglas,1,COORD-0657,99,117
Douglas,1,COORD-0658,100,85
Douglas,1,COORD-0659,100,78
Douglas,1,COORD-0660,100,113
Douglas,1,COORD-0661,100,81
Douglas,1,COORD-0662,100,89
Douglas,1,COORD-0663,100,85
Douglas,1,COORD-0664,100,81
Douglas,1,COORD-0665,100,78
Douglas,1,COORD-0666,100,84
Douglas,1,COORD-0667,100,78
Douglas,1,COORD-0668,100,81
Douglas,1,COORD-0669,100,81
Douglas,1,COORD-0670,100,81
Douglas,1,COORD-0671,100,84
Douglas,1,COORD-0672,100,85
Douglas,1,COORD-0673,100,78
Douglas,1,COORD-0674,100,84
Douglas,1,COORD-0675,100,89
Douglas,1,COORD-0676,100,84
Douglas,1,COORD-0677,100,84
Douglas,1,COORD-0678,100,94
Douglas,1,COORD-0679,100,92
Douglas,1,COORD-0680,100,94
Douglas,1,COORD-0681,100,100
Douglas,1,COORD-0682,100,85
Douglas,1,COORD-0683,100,84
Douglas,1,COORD-0684,100,100
Douglas,1,COORD-0685,100,94
Douglas,1,COORD-0686,100,85
Douglas,1,COORD-0687,100,84
Douglas,1,COORD-0688,100,89
Douglas,1,COORD-0689,100,95
Douglas,1,COORD-0690,100,73
Douglas,1,COORD-0691,100,85
Douglas,1,COORD-0692,100,85
Douglas,1,COORD-0693,100,92
Douglas,1,COORD-0694,100,73
Douglas,1,COORD-0695,100,87
Douglas,1,COORD-0696,100,73
Douglas,1,COORD-0697,100,105
Douglas,1,COORD-0698,100,87
Douglas,1,COORD-0699,100,103
Douglas,1,COORD-0700,100,92
Douglas,1,COORD-0701,100,103
Douglas,1,COORD-0702,100,73
Douglas,1,COORD-0703,100,95
Douglas,1,COORD-0704,100,106
Douglas,1,COORD-0705,100,89
Douglas,1,COORD-0706,100,92
Douglas,1,COORD-0707,100,87
Douglas,1,COORD-0708,100,106
Douglas,1,COORD-0709,100,126
Douglas,1,COORD-0710,100,111
Douglas,1,COORD-0711,100,92
Douglas,1,COORD-0712,100,92
Douglas,1,COORD-0713,85,73
Douglas,1,COORD-0714,100,92
Douglas,1,COORD-0715,100,112
Douglas,1,COORD-0716,100,99
Douglas,1,COORD-0717,97,88
Douglas,1,COORD-0718,100,73
Douglas,1,COORD-0719,100,87
Douglas,1,COORD-0720,100,103
Douglas,1,COORD-0721,100,99
Douglas,1,COORD-0722,100,87
Douglas,1,COORD-0723,100,125
Douglas,1,COORD-0724,100,111
Douglas,1,COORD-0725,100,124
Douglas,1,COORD-0726,100,104
Douglas,1,COORD-0727,100,87
Douglas,1,COORD-0728,100,111
Douglas,1,COORD-0729,100,73
Douglas,1,COORD-0730,100,118
Douglas,1,COORD-0731,100,130
Douglas,1,COORD-0732,100,111
Douglas,1,COORD-0733,100,88
Douglas,1,COORD-0734,100,87
Douglas,1,COORD-0735,100,132
Douglas,1,COORD-0736,100,87
Douglas,1,COORD-0737,100,117
Douglas,1,COORD-0738,100,88
Douglas,1,COORD-0739,100,87
Douglas,1,COORD-0740,100,87
Douglas,1,COORD-0741,1,87
Douglas,1,COORD-0742,100,87
Douglas,1,COORD-0743,100,126
Douglas,1,COORD-0744,100,116
Douglas,1,COORD-0745,100,89
Douglas,1,COORD-0746,100,105
Douglas,1,COORD-0747,100,106
Douglas,1,COORD-0748,100,105
Douglas,1,COORD-0749,100,116
Douglas,1,COORD-0750,100,116
Douglas,1,COORD-0751,100,113
Douglas,1,COORD-0752,100,125
Douglas,1,COORD-0753,100,92
Douglas,1,COORD-0754,100,87
Douglas,1,COORD-0755,100,116
Douglas,1,COORD-0756,100,92
Douglas,1,COORD-0757,100,92
Douglas,1,COORD-0758,100,116
Douglas,1,COORD-0759,100,87
Douglas,1,COORD-0760,100,116
Douglas,1,COORD-0761,100,88
Douglas,1,COORD-0762,100,112
Douglas,1,COORD-0763,100,88
Douglas,1,COORD-0764,100,113
Douglas,1,COORD-0765,100,92
Douglas,1,COORD-0766,100,87
Douglas,1,COORD-0767,100,87
Douglas,1,COORD-0768,100,88
Douglas,1,COORD-0769,100,104
Douglas,1,COORD-0770,100,104
Douglas,1,COORD-0771,100,88
Douglas,1,COORD-0772,100,88
Douglas,1,COORD-0773,100,113
Douglas,1,COORD-0774,100,92
Douglas,1,COORD-0775,100,92
Douglas,1,COORD-0776,100,95
Douglas,1,COORD-0777,100,88
Douglas,1,COORD-0778,100,126
Douglas,1,COORD-0779,100,95
Douglas,1,COORD-0780,100,112
Douglas,1,COORD-0781,100,88
Douglas,1,COORD-0782,100,88
