county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id,audit_reason,discrepancy
Adams,Adams 12 Five Star School District Director District No 1,104-127-72,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:14:26.410,1268100,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-16-6,37,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:21:45.350,1193815,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-27-13,34,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:27:38.080,1200390,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-37-5,35,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:33:04.820,1209639,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-51-22,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:41:04.130,1221537,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-63-74,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:45:08.880,1229582,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-67-60,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:46:49.360,1230946,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,0104-07-20,37,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 11:33:41.170,1188847,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,0104-07-26,47,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 11:35:19.960,1188802,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-75-96,38,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:48:20.220,1236739,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-81-78,34,,,YES,uploaded,,2023-11-20 12:49:32.350,1241154,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-93-66,33,,,YES,uploaded,,2023-11-20 12:55:02.530,1247241,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-98-84,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 09:51:39.590,1250216,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-10-42,35,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:23:10.030,1188331,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-105-2,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:28:43.140,1237054,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-105-73,47,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:29:56.940,1237030,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-108-99,41,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:30:52.410,1237680,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-129-24,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:35:15.140,1250471,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-133-49,46,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:37:11.780,1252320,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-135-82,48,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:37:49.190,1253769,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-139-25,37,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:38:18.580,1256346,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-146-57,45,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:41:33.270,1259701,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-148-19,33,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:42:27.840,1260701,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-152-11,38,,,YES,uploaded,,2023-11-20 12:42:58.340,1264034,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-162-6,38,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:43:25.760,1267831,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-185-63,38,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:47:11.380,1278329,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-185-87,48,,,YES,uploaded,,2023-11-20 12:47:56.840,1278381,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-185-95,47,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:48:46.790,1278323,,FALSE
