County,Tabulator ID,Batch,# of Ballot Cards,Location,,,,,,,,
Eagle,101,559,25,23,,,,,,,,
Eagle,101,560,25,23,,,,,,,,
Eagle,101,561,23,24,,,,,,,,
Eagle,101,562,25,24,,,,,,,,
Eagle,101,563,23,24,,,,,,,,
Eagle,101,564,25,24,,,,,,,,
Eagle,101,565,24,24,,,,,,,,
Eagle,101,566,25,24,,,,,,,,
Eagle,101,567,22,24,,,,,,,,
Eagle,101,568,25,24,,,,,,,,
Eagle,101,569,24,24,,,,,,,,
Eagle,101,570,25,24,,,,,,,,
Eagle,101,571,22,24,,,,,,,,
Eagle,101,572,25,24,,,,,,,,
Eagle,101,573,23,24,,,,,,,,
Eagle,101,574,25,24,,,,,,,,
Eagle,101,575,25,24,,,,,,,,
Eagle,101,576,25,24,,,,,,,,
Eagle,101,577,24,24,,,,,,,,
Eagle,101,578,25,24,,,,,,,,
Eagle,101,579,24,24,,,,,,,,
Eagle,101,580,25,24,,,,,,,,
Eagle,101,581,22,24,,,,,,,,
Eagle,101,582,25,24,,,,,,,,
Eagle,101,583,23,24,,,,,,,,
Eagle,101,584,25,24,,,,,,,,
Eagle,101,585,25,25,,,,,,,,
Eagle,101,586,24,25,,,,,,,,
Eagle,101,587,25,25,,,,,,,,
Eagle,101,588,24,25,,,,,,,,
Eagle,101,589,22,25,,,,,,,,
Eagle,101,590,25,25,,,,,,,,
Eagle,101,591,25,25,,,,,,,,
Eagle,101,592,25,25,,,,,,,,
Eagle,101,593,24,25,,,,,,,,
Eagle,101,594,25,25,,,,,,,,
Eagle,101,595,23,25,,,,,,,,
Eagle,101,596,25,25,,,,,,,,
Eagle,101,597,15,25,,,,,,,,
Eagle,101,598,25,25,,,,,,,,
Eagle,101,599,24,25,,,,,,,,
Eagle,101,600,25,25,,,,,,,,
Eagle,101,601,25,25,,,,,,,,
Eagle,101,602,25,25,,,,,,,,
Eagle,101,603,23,25,,,,,,,,
Eagle,101,604,25,25,,,,,,,,
Eagle,101,605,25,25,,,,,,,,
Eagle,101,606,23,25,,,,,,,,
Eagle,101,607,25,25,,,,,,,,
Eagle,101,608,25,25,,,,,,,,
Eagle,101,609,13,26,,,,,,,,
Eagle,101,610,25,26,,,,,,,,
Eagle,101,611,25,26,,,,,,,,
Eagle,101,612,25,26,,,,,,,,
Eagle,101,613,25,26,,,,,,,,
Eagle,101,614,23,26,,,,,,,,
Eagle,101,615,25,26,,,,,,,,
Eagle,101,616,25,26,,,,,,,,
Eagle,101,617,25,26,,,,,,,,
Eagle,101,618,25,26,,,,,,,,
Eagle,101,619,25,26,,,,,,,,
Eagle,101,620,25,26,,,,,,,,
Eagle,101,621,25,26,,,,,,,,
Eagle,101,622,25,26,,,,,,,,
Eagle,101,623,23,26,,,,,,,,
Eagle,101,624,25,26,,,,,,,,
Eagle,101,625,25,26,,,,,,,,
Eagle,101,626,25,26,,,,,,,,
Eagle,101,627,24,26,,,,,,,,
Eagle,101,628,25,26,,,,,,,,
Eagle,101,629,23,26,,,,,,,,
Eagle,101,630,25,26,,,,,,,,
Eagle,101,631,25,27,,,,,,,,
Eagle,101,632,25,27,,,,,,,,
Eagle,101,633,25,27,,,,,,,,
Eagle,101,634,25,27,,,,,,,,
Eagle,101,635,25,27,,,,,,,,
Eagle,101,636,24,27,,,,,,,,
Eagle,101,637,25,27,,,,,,,,
Eagle,101,638,25,27,,,,,,,,
Eagle,101,639,12,27,,,,,,,,
Eagle,101,640,24,27,,,,,,,,
Eagle,101,641,20,27,,,,,,,,
Eagle,101,642,6,27,,,,,,,,
Eagle,101,643,25,27,,,,,,,,
Eagle,101,644,25,27,,,,,,,,
Eagle,101,645,25,27,,,,,,,,
Eagle,101,646,25,27,,,,,,,,
Eagle,101,647,25,27,,,,,,,,
Eagle,101,648,25,27,,,,,,,,
Eagle,101,649,25,27,,,,,,,,
Eagle,101,650,4,27,,,,,,,,
Eagle,101,651,1,27,,,,,,,,
