County,Device,Batch,#of Ballots,Location
Routt,201,477,50,10
Routt,201,478,50,10
Routt,201,479,50,10
Routt,201,480,50,10
Routt,201,481,50,10
Routt,201,482,50,10
Routt,201,483,50,10
Routt,201,484,50,10
Routt,201,485,50,10
Routt,201,486,50,10
Routt,201,487,50,10
Routt,201,488,50,10
Routt,201,489,50,10
Routt,201,490,50,10
Routt,201,491,50,12
Routt,201,492,50,12
Routt,201,493,50,12
Routt,201,494,50,12
Routt,201,495,50,12
Routt,201,496,50,12
Routt,201,497,50,12
Routt,201,498,50,12
Routt,201,499,50,12
Routt,201,500,50,12
Routt,201,501,50,12
Routt,201,502,28,12
Routt,201,503,50,12
Routt,201,504,50,12
Routt,201,505,50,12
Routt,201,506,50,12
Routt,201,507,50,12
Routt,201,508,50,12
Routt,201,509,50,12
Routt,201,510,50,12
Routt,201,511,50,12
Routt,201,512,50,12
Routt,201,513,50,12
Routt,201,514,50,12
Routt,201,515,50,12
Routt,201,516,50,12
Routt,201,517,50,12
Routt,201,518,50,18
Routt,201,519,50,18
Routt,201,520,50,18
Routt,201,521,48,18
Routt,201,522,50,18
Routt,201,523,50,18
Routt,201,524,50,18
Routt,201,525,51,18
Routt,201,526,25,18
Routt,201,527,50,18
Routt,201,528,50,18
Routt,201,529,60,18
Routt,201,530,50,18
Routt,201,531,50,18
Routt,201,532,15,18
Routt,201,533,15,18
Routt,201,534,90,18
Routt,201,535,66,18
