County,Tabulator ID,Batch,# of Ballots,Location,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,201,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,202,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,203,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,204,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,205,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,206,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,207,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,208,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,209,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,210,19,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,211,18,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,212,23,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,213,23,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,214,27,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,215,27,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,216,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,217,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,218,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,219,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,220,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,221,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,222,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,223,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,224,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,225,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,226,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,227,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,228,21,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,229,21,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,230,20,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,231,21,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,232,24,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,233,24,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,234,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,235,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,236,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,237,24,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,238,25,Box 6,,,,,,,,,,,,,,,,,,,,,
