2026 Morgan County Primary,5.17.17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),State Senator - District 1 - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 4 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),State Senator - District 1 - REP (Vote For=1),State Representative - District 63 - REP (Vote For=1),Morgan County Commissioner District 2 - REP (Vote For=1),Morgan County Clerk and Recorder - REP (Vote For=1),Morgan County Treasurer - REP (Vote For=1),Morgan County Assessor - REP (Vote For=1),Morgan County Sheriff - REP (Vote For=1),Morgan County Coroner - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,Julie Gonzales,John Hickenlooper,Eileen Laubacher,Write-in,Jenna Preston,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Jamie Jeffery,Sean Vadney,Alex Astley,Mark Baisley,Lauren Boebert,Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-in,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Byron Pelton,Dusty Johnson,Robert W Pennington,Kevin Strauch,Kirstin M Watson,Tim Amen,Dave (David) D. Martin,Mike Dahl,Paul Noël Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,BallotType,DEM,DEM,DEM,,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
45,102,1,19,102-1-19,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
46,102,1,9,102-1-9,02-REP,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
47,102,1,48,102-1-48,02-REP,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
48,102,1,3,102-1-3,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
49,102,1,27,102-1-27,02-REP,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,
50,102,1,29,102-1-29,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,
51,102,2,40,102-2-40,01-DEM,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
52,102,2,39,102-2-39,01-DEM,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
53,102,2,23,102-2-23,01-DEM,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
54,102,2,22,102-2-22,01-DEM,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55,102,2,21,102-2-21,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
56,102,2,11,102-2-11,02-REP,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
57,102,2,3,102-2-3,02-REP,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
58,102,2,45,102-2-45,01-DEM,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
59,102,2,30,102-2-30,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
60,102,2,12,102-2-12,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,,
