,,,,,,,"United States Senator - DEM (Vote For=1)","United States Senator - DEM (Vote For=1)","Representative to the 120th United States Congress - District 3 - DEM (Vote For=1)","Representative to the 120th United States Congress - District 3 - DEM (Vote For=1)","Governor - DEM (Vote For=1)","Governor - DEM (Vote For=1)","Secretary of State - DEM (Vote For=1)","Secretary of State - DEM (Vote For=1)","State Treasurer - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","State Board of Education Member - Congressional District 3 - DEM (Vote For=1)","State Representative - District 59 - DEM (Vote For=1)","La Plata County Commissioner District 1 - DEM (Vote For=1)","La Plata County Treasurer - DEM (Vote For=1)","La Plata County Assessor - DEM (Vote For=1)","La Plata County Sheriff - DEM (Vote For=1)","La Plata County Coroner - DEM (Vote For=1)","Secretary of State (Vote For=1)","Secretary of State (Vote For=1)","United States Senator - REP (Vote For=1)","Representative to the 120th United States Congress - District 3 - REP (Vote For=1)","Representative to the 120th United States Congress - District 3 - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Secretary of State - REP (Vote For=1)","State Treasurer - REP (Vote For=1)","Attorney General - REP (Vote For=1)","Attorney General - REP (Vote For=1)","State Board of Education Member - Congressional District 3 - REP (Vote For=1)","State Representative - District 59 - REP (Vote For=1)","La Plata County Surveyor - REP (Vote For=1)","La Plata County Coroner - REP (Vote For=1)","Governor - UNI (Vote For=1)","Governor - UNI (Vote For=1)","City of Durango Ballot Issue 2A (Vote For=1)","City of Durango Ballot Issue 2A (Vote For=1)"
,,,,,,,"Julie Gonzales","John Hickenlooper","Alex Kelloff","Dwayne L. Romero","Phil Weiser","Michael Bennet","Amanda Gonzalez","Jessie Danielson","Jeff Bridges","Jena Griswold","David Seligman","Michael Dougherty","Hetal Doshi","Barb Clementi","Katie Stewart","Elizabeth Philbrick","Miles Walsh","Carrie Woodson","Sean Smith","Trever Nyx","Sean Vadney","Alex Astley","Mark Baisley","Ron Hanks","Jeff Hurd","Scott Bottoms","Victor Marx","Barb Kirkmeyer","Write-in","Kelvin ""K-Man"" Wimberly","James Wiley","Kevin Grantham","Michael J. Allen","David Willson","Sherri M Wright","Naomi Riess","Daryl Z Crites","Cathy Lynn Seibel","Paul Noël Fiorino","Jeff Peckman","FOR THE ORDINANCE","AGAINST THE ORDINANCE"
"CvrNumber","TabulatorNum","BatchId","RecordId","ImprintedId","PrecinctPortion","BallotType","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","LBR","LBR","REP","REP","REP","REP","REP","REP",,,"REP","REP","REP","REP","REP","REP","REP","REP","UNI","UNI",,
11020,103,122,4,"103-122-4","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11021,103,122,45,"103-122-45","101 (101)","01-DEM",0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11022,103,122,25,"103-122-25","101 (101)","01-DEM",0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11023,103,122,9,"103-122-9","101 (101)","01-DEM",1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
11024,103,122,41,"103-122-41","101 (101)","01-DEM",0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11025,103,122,26,"103-122-26","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,
11026,103,122,11,"103-122-11","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11027,103,122,37,"103-122-37","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11028,103,122,27,"103-122-27","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11029,103,122,8,"103-122-8","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11030,103,122,47,"103-122-47","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11031,103,122,28,"103-122-28","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11032,103,122,10,"103-122-10","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11033,103,122,46,"103-122-46","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11034,103,122,29,"103-122-29","101 (101)","01-DEM",1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11035,103,122,14,"103-122-14","101 (101)","01-DEM",0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11036,103,122,48,"103-122-48","101 (101)","01-DEM",0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11037,103,122,30,"103-122-30","101 (101)","01-DEM",1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11038,103,122,5,"103-122-5","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11039,103,122,49,"103-122-49","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11040,103,122,32,"103-122-32","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11041,103,122,16,"103-122-16","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,
11042,103,122,34,"103-122-34","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
11043,103,122,15,"103-122-15","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,
11044,103,122,35,"103-122-35","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11045,103,122,12,"103-122-12","101 (101)","01-DEM",0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11046,103,122,50,"103-122-50","101 (101)","01-DEM",0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11047,103,122,6,"103-122-6","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11048,103,122,7,"103-122-7","101 (101)","01-DEM",1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11049,103,122,17,"103-122-17","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11050,103,122,2,"103-122-2","101 (101)","01-DEM",1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11051,102,100,41,"102-100-41","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11052,102,100,40,"102-100-40","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11053,102,100,31,"102-100-31","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11054,102,100,19,"102-100-19","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11055,102,100,4,"102-100-4","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11056,102,100,39,"102-100-39","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11057,102,100,20,"102-100-20","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,,,,
11058,102,100,14,"102-100-14","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,,,,
11059,102,100,42,"102-100-42","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
11060,102,100,21,"102-100-21","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,,,,
11061,102,100,1,"102-100-1","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11062,102,100,46,"102-100-46","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
11063,102,100,45,"102-100-45","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
11064,102,100,36,"102-100-36","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11065,102,100,22,"102-100-22","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
11066,102,100,9,"102-100-9","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11067,102,100,43,"102-100-43","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
11068,102,100,23,"102-100-23","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11069,102,100,5,"102-100-5","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11070,102,100,44,"102-100-44","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11071,102,100,24,"102-100-24","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,,,,
11072,102,100,12,"102-100-12","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,,,,
11073,102,100,48,"102-100-48","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,,,,
11074,102,100,25,"102-100-25","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
11075,102,100,10,"102-100-10","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11076,102,100,26,"102-100-26","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,,,,
11077,102,100,13,"102-100-13","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,,,,
11078,102,100,47,"102-100-47","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
11079,102,100,27,"102-100-27","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11080,102,100,11,"102-100-11","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,,,,
11081,102,100,28,"102-100-28","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
11082,102,100,18,"102-100-18","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11083,102,100,50,"102-100-50","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,,,,
11084,102,100,29,"102-100-29","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11085,102,100,6,"102-100-6","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
11086,102,100,49,"102-100-49","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
11087,102,100,30,"102-100-30","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11088,102,100,15,"102-100-15","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,,
11089,102,100,32,"102-100-32","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11090,102,100,2,"102-100-2","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,,,,
11091,102,100,33,"102-100-33","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,,,,
11092,102,100,3,"102-100-3","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
11093,102,100,34,"102-100-34","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,,,,
11094,102,100,8,"102-100-8","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,,,,
11095,102,100,35,"102-100-35","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11096,102,100,16,"102-100-16","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,,,,
11097,102,100,37,"102-100-37","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
11098,102,100,7,"102-100-7","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,,,,
11099,102,100,38,"102-100-38","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
11100,102,100,17,"102-100-17","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,,,,
11101,103,123,41,"103-123-41","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11102,103,123,40,"103-123-40","101 (101)","01-DEM",0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11103,103,123,31,"103-123-31","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11104,103,123,19,"103-123-19","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11105,103,123,8,"103-123-8","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11106,103,123,38,"103-123-38","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11107,103,123,20,"103-123-20","101 (101)","01-DEM",0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11108,103,123,3,"103-123-3","101 (101)","01-DEM",0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11109,103,123,36,"103-123-36","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11110,103,123,21,"103-123-21","101 (101)","01-DEM",1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11111,103,123,2,"103-123-2","101 (101)","01-DEM",1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11112,103,123,37,"103-123-37","101 (101)","01-DEM",1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11113,103,123,22,"103-123-22","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11114,103,123,5,"103-123-5","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11115,103,123,39,"103-123-39","101 (101)","01-DEM",0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11116,103,123,23,"103-123-23","101 (101)","01-DEM",0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11117,103,123,4,"103-123-4","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11118,103,123,45,"103-123-45","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11119,103,123,24,"103-123-24","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11120,103,123,17,"103-123-17","101 (101)","01-DEM",0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11121,103,123,42,"103-123-42","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11122,103,123,25,"103-123-25","101 (101)","01-DEM",1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11123,103,123,18,"103-123-18","101 (101)","01-DEM",0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
11124,103,123,43,"103-123-43","101 (101)","01-DEM",1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11125,103,123,26,"103-123-26","101 (101)","01-DEM",1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11126,103,123,13,"103-123-13","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11127,103,123,44,"103-123-44","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11128,103,123,27,"103-123-27","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11129,103,123,7,"103-123-7","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11130,103,123,47,"103-123-47","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11131,103,123,28,"103-123-28","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11132,103,123,48,"103-123-48","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11133,103,123,29,"103-123-29","101 (101)","01-DEM",1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11134,103,123,1,"103-123-1","101 (101)","01-DEM",1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11135,103,123,46,"103-123-46","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11136,103,123,30,"103-123-30","101 (101)","01-DEM",0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11137,103,123,11,"103-123-11","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11138,103,123,50,"103-123-50","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11139,103,123,32,"103-123-32","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11140,103,123,6,"103-123-6","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11141,103,123,49,"103-123-49","101 (101)","01-DEM",1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11142,103,123,14,"103-123-14","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11143,103,123,34,"103-123-34","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11144,103,123,12,"103-123-12","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11145,103,123,35,"103-123-35","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11146,103,123,9,"103-123-9","101 (101)","01-DEM",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11147,103,123,10,"103-123-10","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11148,103,123,16,"103-123-16","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11149,103,123,33,"103-123-33","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11150,103,123,15,"103-123-15","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11151,103,124,47,"103-124-47","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11152,103,124,46,"103-124-46","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11153,103,124,35,"103-124-35","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11154,103,124,19,"103-124-19","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11155,103,124,18,"103-124-18","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11156,103,124,41,"103-124-41","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11157,103,124,40,"103-124-40","101 (101)","01-DEM",1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11158,103,124,32,"103-124-32","101 (101)","01-DEM",0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11159,103,124,20,"103-124-20","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11160,103,124,10,"103-124-10","101 (101)","01-DEM",0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11161,103,124,39,"103-124-39","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
