,,,,,,,"United States Senator - DEM (Vote For=1)","United States Senator - DEM (Vote For=1)","Representative to the 120th United States Congress - District 3 - DEM (Vote For=1)","Representative to the 120th United States Congress - District 3 - DEM (Vote For=1)","Governor - DEM (Vote For=1)","Governor - DEM (Vote For=1)","Secretary of State - DEM (Vote For=1)","Secretary of State - DEM (Vote For=1)","State Treasurer - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","State Board of Education Member - Congressional District 3 - DEM (Vote For=1)","State Representative - District 59 - DEM (Vote For=1)","La Plata County Commissioner District 1 - DEM (Vote For=1)","La Plata County Treasurer - DEM (Vote For=1)","La Plata County Assessor - DEM (Vote For=1)","La Plata County Sheriff - DEM (Vote For=1)","La Plata County Coroner - DEM (Vote For=1)","Secretary of State (Vote For=1)","Secretary of State (Vote For=1)","United States Senator - REP (Vote For=1)","Representative to the 120th United States Congress - District 3 - REP (Vote For=1)","Representative to the 120th United States Congress - District 3 - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Secretary of State - REP (Vote For=1)","State Treasurer - REP (Vote For=1)","Attorney General - REP (Vote For=1)","Attorney General - REP (Vote For=1)","State Board of Education Member - Congressional District 3 - REP (Vote For=1)","State Representative - District 59 - REP (Vote For=1)","La Plata County Surveyor - REP (Vote For=1)","La Plata County Coroner - REP (Vote For=1)","Governor - UNI (Vote For=1)","Governor - UNI (Vote For=1)","City of Durango Ballot Issue 2A (Vote For=1)","City of Durango Ballot Issue 2A (Vote For=1)"
,,,,,,,"Julie Gonzales","John Hickenlooper","Alex Kelloff","Dwayne L. Romero","Phil Weiser","Michael Bennet","Amanda Gonzalez","Jessie Danielson","Jeff Bridges","Jena Griswold","David Seligman","Michael Dougherty","Hetal Doshi","Barb Clementi","Katie Stewart","Elizabeth Philbrick","Miles Walsh","Carrie Woodson","Sean Smith","Trever Nyx","Sean Vadney","Alex Astley","Mark Baisley","Ron Hanks","Jeff Hurd","Scott Bottoms","Victor Marx","Barb Kirkmeyer","Write-in","Kelvin ""K-Man"" Wimberly","James Wiley","Kevin Grantham","Michael J. Allen","David Willson","Sherri M Wright","Naomi Riess","Daryl Z Crites","Cathy Lynn Seibel","Paul Noël Fiorino","Jeff Peckman","FOR THE ORDINANCE","AGAINST THE ORDINANCE"
"CvrNumber","TabulatorNum","BatchId","RecordId","ImprintedId","PrecinctPortion","BallotType","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","LBR","LBR","REP","REP","REP","REP","REP","REP",,,"REP","REP","REP","REP","REP","REP","REP","REP","UNI","UNI",,
63,103,2,3,"103-2-3","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
64,103,2,45,"103-2-45","101 (101)","01-DEM",0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
65,103,2,22,"103-2-22","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
66,103,2,1,"103-2-1","101 (101)","01-DEM",0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
67,103,2,39,"103-2-39","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
68,103,2,23,"103-2-23","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,,,,
69,103,2,11,"103-2-11","101 (101)","01-DEM",0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
70,103,2,47,"103-2-47","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
71,103,2,24,"103-2-24","101 (101)","01-DEM",0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
72,103,2,12,"103-2-12","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
73,103,2,43,"103-2-43","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
74,103,2,25,"103-2-25","101 (101)","01-DEM",0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
75,103,2,9,"103-2-9","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
76,103,2,48,"103-2-48","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
77,103,2,26,"103-2-26","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
78,103,2,4,"103-2-4","101 (101)","01-DEM",0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
79,103,2,27,"103-2-27","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
80,103,2,6,"103-2-6","101 (101)","01-DEM",0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
81,103,2,28,"103-2-28","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
82,103,2,15,"103-2-15","101 (101)","01-DEM",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
83,103,2,49,"103-2-49","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
84,103,2,31,"103-2-31","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
85,103,2,5,"103-2-5","101 (101)","01-DEM",0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
86,103,2,32,"103-2-32","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
87,103,2,17,"103-2-17","101 (101)","01-DEM",0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
88,103,2,33,"103-2-33","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
89,103,2,2,"103-2-2","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
90,103,2,35,"103-2-35","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
91,103,2,7,"103-2-7","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
92,103,2,36,"103-2-36","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
93,103,2,8,"103-2-8","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
94,103,2,40,"103-2-40","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
