contest_name,choice,votes
Larimer County Clerk and Recorder - DEM,Wyatt Schwendeman-Curtis,32811
Larimer County Clerk and Recorder - REP,Tina Harris,28372
Larimer County Commissioner - District 2 - DEM,Kristin Stephens,33492
Larimer County Commissioner - District 2 - REP,Erick Selgren,27021
Larimer County Commissioner - District 3 - DEM,Jody Shadduck-McNally,33520
Larimer County Commissioner - District 3 - REP,"Ben ""Uncle Benny"" Aste",19269
Larimer County Commissioner - District 3 - REP,Paul Rennemeyer,13141
Las Animas County Commissioner District 1 - REP,Felix M. Lopez,1317
Las Animas County Commissioner District 2 - DEM,Henry Solano,1186
Las Animas County Commissioner District 2 - REP,Robert Lucero,1189
Lincoln County Commissioner - District 2 - DEM,Wendy A. Pottorff,140
Lincoln County Commissioner - District 2 - REP,Terry Jaques,890
Lincoln County Commissioner - District 3 - REP,Robert Safranek,660
Lincoln County Commissioner - District 3 - REP,Gary A. Beedy,489
Logan County Board of County Commissioners District 1 - REP,Michael John Brownell,3767
Logan County Board of County Commissioners District 2 - REP,Jim Yahn,3878
Logan - State Representative - District 63 - REP,Dusty A Johnson,2652
Logan - State Representative - District 63 - REP,Brian Urdiales,966
Mesa County Commissioner - District 1 - DEM,Tom Acker,8455
Mesa County Commissioner - District 1 - REP,Cody Davis,21400
Mesa County Commissioner - District 3 - REP,JJ Fletcher,14708
Mesa County Commissioner - District 3 - REP,Janet Rowland,11974
Mineral County Commissioner - District 2 - DEM,Sarah Renee Wallace,124
Mineral County Commissioner - District 2 - REP,"Marvin Ward ""Zeke""",194
Mineral County Commissioner - District 2 - REP,Jesse Albright ,133
Mineral County Commissioner - District 3 - REP,Ramona M Weber,235
Moffat County Commissioner District 1 - REP,Tony Lee Bohrer,1463
Moffat County Commissioner District 2 - REP,Melody Villard,1450
Moffat - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,767
Moffat - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,662
Moffat - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,98
Moffat - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,85
Moffat - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,69
Moffat - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,51
Montezuma County Commissioner District 2 - REP,J. Kent Lindsay,2953
Montezuma County Commissioner District 3 - REP,Gerald W. Koppenhafer,3082
Montezuma - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,1348
Montezuma - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,1144
Montezuma - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,475
Montezuma - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,233
Montezuma - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,213
Montezuma - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,168
Montrose County Commissioner - District 1 - REP,Scott F. Mijares,4048
Montrose County Commissioner - District 1 - REP,Lou Stark,3455
Montrose County Commissioner - District 3 - REP,Ricki Dunlap,4759
Montrose County Commissioner - District 3 - REP,Scott Riba,3075
Morgan County Commissioner District 1 - DEM,Jodi Walker,810
Morgan County Commissioner District 1 - REP,Kelvin Bernhardt,3811
Morgan County Commissioner District 3 - DEM,Scott Klinkhammer,785
Morgan County Commissioner District 3 - REP,Tim Malone,2598
Morgan County Commissioner District 3 - REP,Gordon Henry Westhoff,1868
Otero County Commissioner District 1 - REP,Rob Oquist,1956
Otero County Commissioner District 3 - REP,Jim Baldwin,1866
Otero - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,826
Otero - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,638
Otero - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,322
Otero - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,115
Otero - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,110
Otero - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,101
Ouray County Commissioner - District 1 - DEM,Lynn M. Padgett ,744
Ouray County Commissioner - District 1 - REP,Michael Perkovich,680
Ouray County Commissioner - District 3 - DEM,Jake Niece,759
Ouray - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,353
Ouray - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,308
Ouray - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,63
Ouray - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,48
Ouray - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,43
Ouray - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,38
Park County Commissioner District 1 - DEM,Robb Green,1315
Park County Commissioner District 1 - REP,Amy Mitchell ,1833
Park County Commissioner District 2 - DEM,Jack Hansell,1287
Park County Commissioner District 2 - REP,Jason M Gemmer,1181
Park County Commissioner District 2 - REP,Wallie Weld,950
Phillips County Commissioner - District 2 - REP,Garold Roberts,831
Phillips County Commissioner - District 2 - REP,Dylon Keith Daniel,400
Phillips County Commissioner - District 3 - REP,Tom Lee Timm,1086
Phillips County Sheriff - REP,Michael Beard,608
Phillips County Sheriff - REP,Darrell Smith,572
Pitkin County Commissioner - District 5,Francie Jacober,1746
Pitkin County Commissioner - District 5,Toni Kronberg,827
Pitkin County Commissioner - District 5,Neil C. Reilley,490
Pitkin - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,348
Pitkin - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,237
Pitkin - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,184
Pitkin - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,137
Pitkin - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,45
Pitkin - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,42
Prowers County Commissioner District 1 - REP,Ty Harmon,1322
Prowers County Commissioner District 1 - REP,Tom Grasmick,900
Prowers County Commissioner District 3 - REP,Roger Stagner,1579
Pueblo County Commissioner - District 1 - DEM,Miles Lucero,11944
Pueblo County Commissioner - District 1 - REP,Steven Rodriguez,10378
Pueblo County Commissioner - District 2 - DEM,Daneya Esgar,12087
Pueblo County Commissioner - District 2 - REP,Paula McPheeters,10815
Regent of the University of Colorado - At Large - DEM,Elliott Hood,229242
Regent of the University of Colorado - At Large - DEM,"Charles ""CJ"" Johnson",210446
Regent of the University of Colorado - At Large - REP,Eric Rinard,376768
Regent of the University of Colorado - Congressional District 3 - DEM,Robert B. Logan,45537
Regent of the University of Colorado - Congressional District 3 - REP,Ray Scott,54917
Regent of the University of Colorado - Congressional District 3 - REP,Kristine Sposato,18382
Regent of the University of Colorado - Congressional District 5 - DEM,Axel Brown,36454
Regent of the University of Colorado - Congressional District 5 - REP,Ken Montera,66129
Representative to the 118th United States Congress - District 4,Greg Lopez,100068
Representative to the 118th United States Congress - District 4,Trisha Eloise Calvarese,59003
Representative to the 118th United States Congress - District 4,Hannah Goodman,9065
Representative to the 118th United States Congress - District 4,Frank Atwood,3224
Representative to the 119th United States Congress - District 1 - DEM,Diana DeGette,78548
Representative to the 119th United States Congress - District 1 - DEM,John Wren,131
Representative to the 119th United States Congress - District 1 - REP,Valdamar Archuleta,11421
Representative to the 119th United States Congress - District 2 - DEM,Joe Neguse,91215
Representative to the 119th United States Congress - District 2 - REP,Marshall Dawson,30820
Representative to the 119th United States Congress - District 3 - DEM,Adam Frisch,51614
Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,26697
Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,17639
Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,6569
Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,4277
Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,3655
Representative to the 119th United States Congress - District 3 - REP,Lew Webb,3524
Representative to the 119th United States Congress - District 4 - DEM,Trisha Calvarese,22752
Representative to the 119th United States Congress - District 4 - DEM,Ike McCorkle,20720
Representative to the 119th United States Congress - District 4 - DEM,John Padora Jr.,6882
Representative to the 119th United States Congress - District 4 - REP,Lauren Boebert,52040
Representative to the 119th United States Congress - District 4 - REP,Jerry Sonnenberg,17285
Representative to the 119th United States Congress - District 4 - REP,Deborah Flora,16607
Representative to the 119th United States Congress - District 4 - REP,Mike Lynch,12946
Representative to the 119th United States Congress - District 4 - REP,Richard Holtorf,12850
Representative to the 119th United States Congress - District 4 - REP,Peter Yu,8613
Representative to the 119th United States Congress - District 5 - DEM,River Gassen,20769
Representative to the 119th United States Congress - District 5 - DEM,Joe Reagan,20282
Representative to the 119th United States Congress - District 5 - REP,Jeff Crank,56517
Representative to the 119th United States Congress - District 5 - REP,Dave Williams,30190
Representative to the 119th United States Congress - District 6 - DEM,Jason Crow,55834
Representative to the 119th United States Congress - District 6 - REP,John E. Fabbricatore,30891
Representative to the 119th United States Congress - District 7 - DEM,Brittany Pettersen,71021
Representative to the 119th United States Congress - District 7 - REP,Sergei Matveyuk,46132
Representative to the 119th United States Congress - District 8 - DEM,Yadira Caraveo,35409
Representative to the 119th United States Congress - District 8 - REP,Gabe Evans,18530
Representative to the 119th United States Congress - District 8 - REP,Janak Joshi,5068
Rio Blanco County Commissioner District 2 - REP,Jennifer O'Hearon,1160
Rio Blanco County Commissioner District 3 - REP,Callie H. Scritchfield,1134
Rio Blanco County Commissioner District 3 - REP,Regas K Halandras,627
Rio Grande County Commissioner District 1 - REP,Scott Deacon,1268
Rio Grande County Commissioner District 3 - REP,Gene W Glover,1276
Rio Grande - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,611
Rio Grande - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,546
Rio Grande - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,91
Rio Grande - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,89
Rio Grande - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,77
Rio Grande - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,54
Routt County Commissioner - District 1 - DEM,Angelica Salinas,2201
Routt County Commissioner - District 1 - REP,Brent A. Romick,1311
Routt County Commissioner - District 2 - DEM,Tim Redmond,2307
Routt County Commissioner - District 2 - REP,Tracy Lawton,1167
Routt - State Board of Education Member - Congressional District 2 - DEM,Kathy Gebhardt,1254
Routt - State Board of Education Member - Congressional District 2 - DEM,Marisol Lynda Rodriguez,1082
Saguache County Commissioner District 1 - DEM,Tom McCracken,536
Saguache County Commissioner District 1 - DEM,Adam Kinney,379
Saguache County Commissioner District 1 - REP,Marcus Weir,430
Saguache County Commissioner District 2 - DEM,Lynne Thompson,704
Saguache County Commissioner District 2 - REP,Jason Ensz,432
San Miguel County Clerk and Recorder - DEM,Michael Wyszynski,1390
San Miguel County Commissioner - District 1 - DEM,Anne Brown,1245
San Miguel County Commissioner - District 1 - DEM,Geneva Shaunette,520
San Miguel County Commissioner - District 3 - DEM,Galena Gleason,1413
San Miguel - State Representative - District 58 - REP,Larry Don Suckla,214
San Miguel - State Representative - District 58 - REP,J. Mark Roeber,103
Sedgwick County Commissioner - District 2 - REP,John Fryar,356
Sedgwick County Commissioner - District 2 - REP,Tracy Kizer,191
Sedgwick County Commissioner - District 2 - REP,Donald P Schneider,183
Sedgwick County Commissioner - District 3 - REP,Howard McCormick,417
State Board of Education Member - Congressional District 2 - DEM,Kathy Gebhardt,48219
State Board of Education Member - Congressional District 2 - DEM,Marisol Lynda Rodriguez,36770
State Board of Education Member - Congressional District 3 - DEM,Ellen Angeles,46953
State Board of Education Member - Congressional District 3 - REP,Sherri M Wright,65036
State Board of Education Member - Congressional District 4 - DEM,Krista Holtzmann,45451
State Board of Education Member - Congressional District 4 - REP,"Kristi ""KBB"" Burton Brown",52709
State Board of Education Member - Congressional District 4 - REP,Saundra Larsen,46418
State Board of Education Member - Congressional District 8 - DEM,Rhonda Solis,34444
State Board of Education Member - Congressional District 8 - REP,Yazmin Navarro,35317
State Representative - District 10 - DEM,Junie Joseph,7896
State Representative - District 10 - DEM,Tina Mueh,5493
State Representative - District 10 - REP,William B. DeOreo,915
