CountyName,ContestName,ContestChoices
Dolores,Dolores County Commissioner District 2 - REP,Steve Garchar
Douglas,Representative to the 119th United States Congress - District 4 - REP,"Lauren Boebert, Richard Holtorf, Mike Lynch, Deborah Flora, Jerry Sonnenberg, Peter Yu"
Douglas,Representative to the 118th United States Congress - District 4,"Frank Atwood, Hannah Goodman, Greg Lopez, Trisha Eloise Calvarese"
Douglas,Representative to the 119th United States Congress - District 4 - DEM,"Trisha Calvarese, John Padora Jr., Ike McCorkle"
Douglas,Douglas County Commissioner - District 3 - REP,"Kevin Van Winkle, John Carson, Priscilla Rahn"
Douglas,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Douglas,Douglas County Commissioner - District 2 - DEM,"Angela Thomas, Julien Bouquet"
Douglas,State Board of Education Member - Congressional District 4 - REP,"Kristi ""KBB"" Burton Brown, Saundra Larsen"
Douglas,State Senator - District 2 - REP,"Timothy Wesley Arvidson, Lisa Frizell"
Douglas,State Representative - District 43 - REP,"Lora Thomas, Matt Burcham"
Douglas,State Representative - District 45 - REP,"Bill Jack, Max Brooks"
Douglas,District Attorney - 23rd Judicial District - REP,"Dagny Van Der Jagt, George Brauchler"
Douglas,Representative to the 119th United States Congress - District 6 - DEM,Jason Crow
Douglas,State Board of Education Member - Congressional District 4 - DEM,Krista Holtzmann
Douglas,State Senator - District 2 - DEM,Jennifer Brady
Douglas,State Representative - District 39 - DEM,Eric Brody
Douglas,State Representative - District 43 - DEM,Bob Marshall
Douglas,State Representative - District 44 - DEM,Alyssa Nilemo
Douglas,State Representative - District 45 - DEM,Chad Cox
Douglas,State Representative - District 61 - DEM,Eliza Hamrick
Douglas,District Attorney - 23rd Judicial District - DEM,Karen Breslin
Douglas,Douglas County Commissioner - District 3 - DEM,Josh Smith
Douglas,Representative to the 119th United States Congress - District 6 - REP,John E. Fabbricatore
Douglas,Regent of the University of Colorado - At Large - REP,Eric Rinard
Douglas,State Representative - District 39 - REP,Brandi Bradley
Douglas,State Representative - District 44 - REP,Anthony Hartsook
Douglas,State Representative - District 61 - REP,Luis A. Moy
Douglas,Douglas County Commissioner - District 2 - REP,George Teal
Eagle,Representative to the 119th United States Congress - District 3 - REP,"Stephen A. Varela, Ron Hanks, Lew Webb, Russ Andrews, Curtis M. McCrackin, Jeff Hurd"
Eagle,State Board of Education Member - Congressional District 2 - DEM,"Kathy Gebhardt, Marisol Lynda Rodriguez"
Eagle,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Eagle,Eagle County Commissioner - District 2 - DEM,"Sarah Smith Hymes, Tom Boyd"
Eagle,Regent of the University of Colorado - Congressional District 3 - REP,"Kristine Sposato, Ray Scott"
Eagle,Representative to the 119th United States Congress - District 2 - DEM,Joe Neguse
