County,Tabulator,Batch,Ballots,Location
Douglas,1,GEN-0519,100,88
Douglas,1,GEN-0520,100,87
Douglas,1,GEN-0521,100,99
Douglas,1,GEN-0522,100,82
Douglas,1,GEN-0523,100,91
Douglas,1,GEN-0524,100,90
Douglas,1,GEN-0525,100,88
Douglas,1,GEN-0526,100,92
Douglas,1,GEN-0527,100,82
Douglas,1,GEN-0528,100,82
Douglas,1,GEN-0529,100,90
Douglas,1,GEN-0530,100,89
Douglas,1,GEN-0531,100,92
Douglas,1,GEN-0532,100,90
Douglas,1,GEN-0533,87,70
Douglas,1,GEN-0534,100,83
Douglas,1,GEN-0535,94,83
Douglas,1,GEN-0536,100,83
Douglas,1,GEN-0537,100,70
Douglas,1,GEN-0538,100,70
Douglas,1,GEN-0539,100,97
Douglas,1,GEN-0540,100,88
Douglas,1,GEN-0541,100,94
Douglas,1,GEN-0542,100,92
Douglas,1,GEN-0543,100,107
Douglas,1,GEN-0544,100,97
Douglas,1,GEN-0545,100,82
Douglas,1,GEN-0546,100,88
Douglas,1,GEN-0547,100,94
Douglas,1,GEN-0548,100,94
Douglas,1,GEN-0549,100,82
Douglas,1,GEN-0550,100,85
Douglas,1,GEN-0551,100,85
Douglas,1,GEN-0552,100,92
Douglas,1,GEN-0553,100,85
Douglas,1,GEN-0554,100,92
Douglas,1,GEN-0555,100,110
Douglas,1,GEN-0556,100,102
Douglas,1,GEN-0557,100,97
Douglas,1,GEN-0558,100,102
Douglas,1,GEN-0559,100,92
Douglas,1,GEN-0560,48,85
Douglas,1,GEN-0561,100,97
Douglas,1,GEN-0562,100,85
Douglas,1,GEN-0563,100,90
Douglas,1,GEN-0564,100,92
Douglas,1,GEN-0565,100,97
Douglas,1,GEN-0566,100,87
Douglas,1,GEN-0567,100,82
Douglas,1,GEN-0568,100,92
Douglas,1,GEN-0569,100,92
Douglas,1,GEN-0570,100,92
Douglas,1,GEN-0571,100,99
Douglas,1,GEN-0572,100,102
Douglas,1,GEN-0573,100,88
Douglas,1,GEN-0574,100,99
Douglas,1,GEN-0575,100,82
Douglas,1,GEN-0576,100,99
Douglas,1,GEN-0577,100,97
Douglas,1,GEN-0578,100,90
Douglas,1,GEN-0579,91,92
Douglas,1,GEN-0580,100,90
Douglas,1,GEN-0581,100,89
Douglas,1,GEN-0582,100,90
Douglas,1,GEN-0583,100,112
Douglas,1,GEN-0584,100,91
Douglas,1,GEN-0585,100,89
Douglas,1,GEN-0586,100,127
Douglas,1,GEN-0587,100,87
Douglas,1,GEN-0588,100,112
Douglas,1,GEN-0589,100,112
Douglas,1,GEN-0590,100,91
Douglas,1,GEN-0591,100,85
Douglas,1,GEN-0592,100,87
Douglas,1,GEN-0593,100,115
Douglas,1,GEN-0594,100,112
Douglas,1,GEN-0595,100,85
Douglas,1,GEN-0596,100,87
Douglas,1,GEN-0597,100,87
Douglas,1,GEN-0598,100,115
Douglas,1,GEN-0599,100,94
Douglas,1,GEN-0600,100,91
Douglas,1,GEN-0601,100,91
Douglas,1,GEN-0602,100,94
Douglas,1,GEN-0603,100,91
Douglas,1,GEN-0604,100,94
Douglas,1,GEN-0605,100,115
Douglas,1,GEN-0606,100,87
Douglas,1,GEN-0607,100,94
Douglas,1,GEN-0608,100,102
Douglas,1,GEN-0609,100,107
Douglas,1,GEN-0610,100,94
Douglas,1,GEN-0611,100,106
Douglas,1,GEN-0612,100,99
Douglas,1,GEN-0613,100,107
Douglas,1,GEN-0614,100,89
Douglas,1,GEN-0615,100,112
Douglas,1,GEN-0616,88,106
Douglas,1,GEN-0617,100,102
Douglas,1,GEN-0618,100,94
Douglas,1,GEN-0619,100,103
Douglas,1,GEN-0620,100,87
Douglas,1,GEN-0621,100,106
Douglas,1,GEN-0622,100,102
Douglas,1,GEN-0623,100,102
Douglas,1,GEN-0624,40,97
Douglas,1,GEN-0625,100,85
Douglas,1,GEN-0626,100,97
Douglas,1,GEN-0627,100,106
Douglas,1,GEN-0628,100,87
Douglas,1,GEN-0629,100,109
Douglas,1,GEN-0630,56,107
Douglas,1,GEN-0631,100,94
Douglas,1,GEN-0632,100,110
Douglas,1,GEN-0633,100,106
Douglas,1,GEN-0634,100,118
Douglas,1,GEN-0635,100,87
Douglas,1,GEN-0636,100,110
Douglas,1,GEN-0637,100,87
Douglas,1,GEN-0638,100,110
Douglas,1,GEN-0639,100,116
Douglas,1,GEN-0640,100,106
Douglas,1,GEN-0641,100,109
Douglas,1,GEN-0642,100,109
