County,Tabulator ID,Batch,# of Ballot Cards,Location,
Pueblo,204,32,100,Tub 22,
Pueblo,204,33,100,Tub 22,
Pueblo,204,34,100,Tub 22,
Pueblo,204,35,100,Tub 22,
Pueblo,204,36,100,Tub 22,
Pueblo,204,37,100,Tub 22,
Pueblo,204,38,100,Tub 22,
Pueblo,204,39,100,Tub 22,
Pueblo,204,40,100,Tub 22,
Pueblo,204,41,100,Tub 24,
Pueblo,204,42,100,Tub 24,
Pueblo,204,43,100,Tub 24,
Pueblo,204,44,100,Tub 24,
Pueblo,204,45,100,Tub 24,
Pueblo,204,46,98,Tub 24,
Pueblo,204,47,100,Tub 24,
Pueblo,204,48,100,Tub 24,
Pueblo,204,49,100,Tub 24,
Pueblo,204,50,100,Tub 24,
Pueblo,204,51,100,Tub 24,
Pueblo,204,52,100,Tub 24,
Pueblo,204,53,100,Tub 24,
Pueblo,204,54,100,Tub 24,
Pueblo,204,55,100,Tub 24,
Pueblo,204,56,100,Tub 24,
Pueblo,204,57,100,Tub 24,
Pueblo,204,58,100,Tub 24,
Pueblo,204,59,100,Tub 24,
Pueblo,204,60,98,Tub 24,
Pueblo,204,61,100,Tub 26,
Pueblo,204,62,100,Tub 26,
Pueblo,204,63,14,Tub 26,
Pueblo,204,64,100,Tub 26,
Pueblo,204,65,100,Tub 26,
Pueblo,204,66,100,Tub 26,
Pueblo,204,67,100,Tub 26,
Pueblo,204,68,100,Tub 26,
Pueblo,204,69,100,Tub 26,
Pueblo,204,70,2,Tub 26,
Pueblo,204,71,2,Tub 26,
Pueblo,204,72,4,Tub 26,
Pueblo,204,73,4,Tub 26,
Pueblo,204,74,4,Tub 26,
Pueblo,204,75,100,Tub 26,
Pueblo,204,76,100,Tub 26,
Pueblo,204,77,76,Tub 26,
Pueblo,204,78,100,Tub 26,
Pueblo,204,79,100,Tub 26,
Pueblo,204,80,100,Tub 26,
Pueblo,204,81,100,Tub 26,
Pueblo,204,82,100,Tub 26,
Pueblo,204,83,100,Tub 26,
Pueblo,204,84,10,Tub 26,
Pueblo,204,85,90,Tub 26,
Pueblo,204,86,100,Tub 26,
Pueblo,204,87,100,Tub28,
Pueblo,204,88,100,Tub28,
Pueblo,204,89,100,Tub28,
Pueblo,204,90,100,Tub28,
Pueblo,204,91,100,Tub28,
Pueblo,204,92,100,Tub28,
Pueblo,204,93,100,Tub28,
Pueblo,204,94,100,Tub28,
Pueblo,204,95,100,Tub28,
Pueblo,204,96,100,Tub28,
Pueblo,204,97,100,Tub28,
Pueblo,204,98,100,Tub28,
Pueblo,204,99,96,Tub28,
Pueblo,204,100,100,Tub28,
Pueblo,204,101,100,Tub28,
Pueblo,204,102,100,Tub28,
Pueblo,204,103,100,Tub28,
Pueblo,204,104,100,Tub28,
Pueblo,204,105,100,Tub28,
Pueblo,204,106,100,Tub28,
Pueblo,204,107,100,Tub30,
Pueblo,204,108,100,Tub30,
Pueblo,204,109,100,Tub30,
Pueblo,204,110,100,Tub30,
Pueblo,204,111,100,Tub30,
Pueblo,204,112,100,Tub30,
Pueblo,204,113,100,Tub30,
Pueblo,204,114,100,Tub30,
Pueblo,204,115,100,Tub30,
Pueblo,204,116,100,Tub30,
Pueblo,204,117,100,Tub30,
Pueblo,204,118,100,Tub30,
Pueblo,204,119,100,Tub30,
Pueblo,204,120,100,Tub30,
Pueblo,204,121,98,Tub30,
Pueblo,204,122,98,Tub30,
Pueblo,204,123,100,Tub30,
Pueblo,204,124,100,Tub30,
Pueblo,204,125,100,Tub30,
Pueblo,204,126,98,Tub30,
Pueblo,204,127,100,Tub32,
Pueblo,204,128,100,Tub32,
Pueblo,204,129,100,Tub32,
Pueblo,204,130,100,Tub32,
Pueblo,204,131,100,Tub32,
Pueblo,204,132,100,Tub32,
Pueblo,204,133,100,Tub32,
Pueblo,204,134,78,Tub32,
Pueblo,204,135,100,Tub32,
Pueblo,204,136,100,Tub32,
Pueblo,204,137,100,Tub32,
Pueblo,204,138,26,Tub32,
Pueblo,204,139,100,Tub32,
Pueblo,204,140,100,Tub32,
Pueblo,204,141,100,Tub32,
Pueblo,204,142,100,Tub32,
Pueblo,204,143,100,Tub32,
Pueblo,204,144,100,Tub32,
Pueblo,204,145,100,Tub32,
Pueblo,204,146,100,Tub32,
Pueblo,204,147,100,Tub34,
Pueblo,204,148,100,Tub34,
Pueblo,204,149,100,Tub34,
Pueblo,204,150,100,Tub34,
Pueblo,204,151,98,Tub34,
Pueblo,204,152,100,Tub34,
Pueblo,204,153,100,Tub34,
Pueblo,204,154,100,Tub34,
Pueblo,204,155,100,Tub34,
Pueblo,204,156,100,Tub34,
Pueblo,204,157,100,Tub34,
Pueblo,204,158,100,Tub34,
Pueblo,204,159,28,Tub34,
Pueblo,204,160,100,Tub34,
Pueblo,204,161,98,Tub34,
Pueblo,204,162,40,Tub34,
Pueblo,204,163,100,Tub34,
Pueblo,204,164,100,Tub34,
Pueblo,204,165,100,Tub34,
Pueblo,204,166,100,Tub34,
Pueblo,204,167,100,Tub36,
Pueblo,204,168,100,Tub36,
Pueblo,204,169,94,Tub36,
Pueblo,204,170,98,Tub36,
Pueblo,204,171,100,Tub36,
Pueblo,204,172,100,Tub36,
Pueblo,204,173,100,Tub36,
Pueblo,204,174,100,Tub36,
Pueblo,204,175,100,Tub36,
Pueblo,204,176,100,Tub36,
Pueblo,204,177,100,Tub36,
Pueblo,204,178,98,Tub36,
Pueblo,204,179,100,Tub36,
Pueblo,204,180,100,Tub36,
Pueblo,204,181,100,Tub36,
Pueblo,204,182,100,Tub36,
Pueblo,204,183,100,Tub36,
Pueblo,204,184,100,Tub36,
Pueblo,204,185,100,Tub36,
Pueblo,204,186,100,Tub36,
Pueblo,204,187,100,Tub38,
Pueblo,204,188,100,Tub38,
Pueblo,204,189,100,Tub38,
Pueblo,204,190,100,Tub38,
Pueblo,204,191,100,Tub38,
Pueblo,204,192,100,Tub38,
Pueblo,204,193,100,Tub38,
Pueblo,204,194,100,Tub38,
Pueblo,204,195,98,Tub38,
Pueblo,204,196,100,Tub38,
Pueblo,204,197,100,Tub38,
Pueblo,204,198,100,Tub38,
Pueblo,204,199,100,Tub38,
Pueblo,204,200,100,Tub38,
Pueblo,204,201,8,Tub38,
Pueblo,204,202,100,Tub38,
Pueblo,204,203,100,Tub38,
Pueblo,204,204,100,Tub38,
Pueblo,204,205,100,Tub38,
Pueblo,204,206,100,Tub38,
Pueblo,204,207,100,Tub40,
Pueblo,204,208,100,Tub40,
Pueblo,204,209,100,Tub40,
Pueblo,204,210,100,Tub40,
Pueblo,204,211,100,Tub40,
Pueblo,204,212,100,Tub40,
Pueblo,204,213,98,Tub40,
Pueblo,204,214,100,Tub40,
Pueblo,204,215,100,Tub40,
Pueblo,204,216,100,Tub40,
Pueblo,204,217,100,Tub40,
Pueblo,204,218,100,Tub40,
Pueblo,204,219,98,Tub40,
Pueblo,204,220,100,Tub40,
Pueblo,204,221,98,Tub40,
Pueblo,204,222,100,Tub40,
Pueblo,204,223,100,Tub40,
Pueblo,204,224,100,Tub40,
Pueblo,204,225,100,Tub40,
Pueblo,204,226,100,Tub40,
Pueblo,204,227,2,Tub40,
Pueblo,204,228,4,Tub40,
Pueblo,204,229,2,Tub40,
Pueblo,204,230,10,Tub40,
Pueblo,204,231,100,Tub42,
Pueblo,204,232,98,Tub42,
Pueblo,204,233,100,Tub42,
