county,contest,record_type,cvr_number,imprinted_id,raw_vote,valid_interpretation
Larimer,City of Fort Collins Mayor,UPLOADED,91553,103-104-44,"""Tricia Canonico(1)"",""Adam Eggleston(7)"",""Emily Francis(7)"",""Adam Hirschhorn(7)"",""Shirley Peel(7)"",""Jeffrey Shumway(7)"",""Scotty V VanTatenhove(7)""","""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,91554,103-104-68,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Shirley Peel(3)"",""Adam Eggleston(4)"",""Adam Hirschhorn(5)"",""Shirley Peel(6)"",""Scotty V VanTatenhove(7)""","""Emily Francis"",""Tricia Canonico"",""Shirley Peel"",""Adam Eggleston"",""Adam Hirschhorn"""
Larimer,City of Fort Collins Mayor,UPLOADED,91555,103-104-74,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Shirley Peel(3)"",""Scotty V VanTatenhove(4)"",""Adam Eggleston(5)"",""Scotty V VanTatenhove(6)"",""Adam Hirschhorn(7)""","""Emily Francis"",""Tricia Canonico"",""Shirley Peel"",""Scotty V VanTatenhove"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,91556,103-104-17,"""Shirley Peel(1)"",""Jeffrey Shumway(2)"",""Adam Hirschhorn(3)"",""Scotty V VanTatenhove(3)"",""Adam Eggleston(4)"",""Tricia Canonico(6)"",""Emily Francis(7)""","""Shirley Peel"",""Jeffrey Shumway"""
Larimer,City of Fort Collins Mayor,UPLOADED,91655,104-121-39,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Shirley Peel(3)"",""Jeffrey Shumway(5)"",""Adam Hirschhorn(6)"",""Adam Eggleston(7)""","""Tricia Canonico"",""Emily Francis"",""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,91656,104-121-27,"""Tricia Canonico(1)"",""Emily Francis(1)"",""Tricia Canonico(2)"",""Adam Eggleston(3)"",""Shirley Peel(4)""",""
Larimer,City of Fort Collins Mayor,UPLOADED,91657,104-121-96,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Scotty V VanTatenhove(3)"",""Adam Eggleston(4)"",""Scotty V VanTatenhove(5)"",""Shirley Peel(6)"",""Adam Hirschhorn(7)""","""Tricia Canonico"",""Emily Francis"",""Scotty V VanTatenhove"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,91658,104-121-80,"""Tricia Canonico(1)"",""Emily Francis(3)""","""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,91757,106-151-58,"""Scotty V VanTatenhove(1)"",""Emily Francis(2)"",""Tricia Canonico(3)"",""Adam Eggleston(4)"",""Jeffrey Shumway(5)"",""Shirley Peel(7)""","""Scotty V VanTatenhove"",""Emily Francis"",""Tricia Canonico"",""Adam Eggleston"",""Jeffrey Shumway"""
Larimer,City of Fort Collins Mayor,UPLOADED,91758,106-151-21,"""Shirley Peel(1)"",""Scotty V VanTatenhove(2)"",""Jeffrey Shumway(3)"",""Adam Hirschhorn(4)"",""Emily Francis(5)"",""Adam Eggleston(6)"",""Emily Francis(7)""","""Shirley Peel"",""Scotty V VanTatenhove"",""Jeffrey Shumway"",""Adam Hirschhorn"",""Emily Francis"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,91852,109-116-5,"""Adam Eggleston(1)"",""Tricia Canonico(2)"",""Adam Eggleston(3)"",""Shirley Peel(4)""","""Adam Eggleston"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,91853,109-116-84,"""Scotty V VanTatenhove(1)"",""Tricia Canonico(2)"",""Emily Francis(3)"",""Adam Eggleston(4)"",""Emily Francis(5)"",""Jeffrey Shumway(6)"",""Adam Hirschhorn(7)""","""Scotty V VanTatenhove"",""Tricia Canonico"",""Emily Francis"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,91855,109-116-95,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Adam Eggleston(3)"",""Shirley Peel(4)"",""Jeffrey Shumway(5)"",""Scotty V VanTatenhove(6)"",""Jeffrey Shumway(7)""","""Tricia Canonico"",""Emily Francis"",""Adam Eggleston"",""Shirley Peel"",""Jeffrey Shumway"",""Scotty V VanTatenhove"""
